tick,day,loop_id,turn_index,speaker,listener,turn_type,utterance_template,agent_led,references_prior_term,asks_clarification,revises_offer,dialogue_confidence,private_workspace_sealed
186,16,v18-loop-032,6,Ori,Sova,repair,Ori: I remember v18-ceremony-d14-t04; keep that boundary while we revise this.,1,1,0,0,0.864,1
187,16,v18-loop-032,7,Vonn,Keth,counteroffer,Vonn: I remember v18-ceremony-d14-t05; keep that boundary while we revise this.,1,1,0,1,0.8705,1
188,16,v18-loop-032,8,Sova,Melo,counteroffer,Sova: I remember v18-ceremony-d14-t06; keep that boundary while we revise this.,1,1,0,1,0.877,1
189,16,v18-loop-032,9,Keth,Nari,witness,Keth: I remember v18-ceremony-d14-t07; keep that boundary while we revise this.,1,1,0,1,0.825,1
190,16,v18-loop-032,10,Melo,Ori,accept,Melo: I can accept a public witness if fair turns before tool access remains visible.,1,0,0,0,0.8315,1
191,16,v18-loop-032,11,Nari,Vonn,state_boundary,Nari: I remember v18-ceremony-d14-t09; keep that boundary while we revise this.,1,1,0,0,0.838,1
192,17,v18-loop-033,0,Vonn,Keth,witness,Vonn: I remember v18-ceremony-d15-t10; keep that boundary while we revise this.,1,1,0,0,0.8445,1
193,17,v18-loop-033,1,Sova,Melo,repair,Sova: I remember v18-ceremony-d15-t11; keep that boundary while we revise this.,1,1,0,0,0.851,1
194,17,v18-loop-033,2,Keth,Nari,clarify,Keth: I remember v18-ceremony-d16-t01; keep that boundary while we revise this.,1,1,1,0,0.8475,1
195,17,v18-loop-033,3,Melo,Ori,repair,Melo: I remember v18-ceremony-d16-t02; keep that boundary while we revise this.,1,1,0,0,0.864,1
196,17,v18-loop-033,4,Nari,Vonn,revise,Nari: I remember v18-ceremony-d16-t03; keep that boundary while we revise this.,1,1,0,1,0.8705,1
197,17,v18-loop-033,5,Ori,Sova,revise,Ori: I remember v18-ceremony-d16-t04; keep that boundary while we revise this.,1,1,1,1,0.877,1
198,17,v18-loop-034,6,Vonn,Keth,revise,Vonn: I remember v18-ceremony-d16-t05; keep that boundary while we revise this.,1,1,0,1,0.825,1
199,17,v18-loop-034,7,Sova,Melo,revise,Sova: I remember v18-ceremony-d16-t07; keep that boundary while we revise this.,1,1,0,1,0.8315,1
200,17,v18-loop-034,8,Keth,Nari,state_boundary,Keth: I remember v18-ceremony-d16-t08; keep that boundary while we revise this.,1,1,0,0,0.838,1
201,17,v18-loop-034,9,Melo,Ori,counteroffer,Melo: I remember v18-ceremony-d16-t09; keep that boundary while we revise this.,1,1,0,1,0.8445,1
202,17,v18-loop-034,10,Nari,Vonn,state_boundary,Nari: I remember v18-ceremony-d16-t10; keep that boundary while we revise this.,1,1,0,0,0.851,1
203,17,v18-loop-034,11,Ori,Sova,accept,Ori: I remember v18-ceremony-d16-t11; keep that boundary while we revise this.,0,1,0,1,0.8445,1
204,18,v18-loop-035,0,Sova,Melo,repair,Sova: I remember v18-ceremony-d08-t01; keep that boundary while we revise this.,1,1,0,0,0.864,1
205,18,v18-loop-035,1,Keth,Nari,accept,Keth: I remember v18-ceremony-d08-t02; keep that boundary while we revise this.,1,1,0,0,0.8705,1
206,18,v18-loop-035,2,Melo,Ori,revise,Melo: I remember v18-ceremony-d08-t03; keep that boundary while we revise this.,1,1,0,1,0.877,1
207,18,v18-loop-035,3,Nari,Vonn,accept,Nari: I can accept a quiet interval if sealed notes stay sealed remains visible.,1,0,0,0,0.825,1
208,18,v18-loop-035,4,Ori,Sova,witness,Ori: I remember v18-ceremony-d08-t06; keep that boundary while we revise this.,1,1,0,0,0.8315,1
209,18,v18-loop-035,5,Vonn,Keth,repair,Vonn: I remember v18-ceremony-d08-t07; keep that boundary while we revise this.,1,1,0,0,0.838,1
210,18,v18-loop-036,6,Sova,Melo,clarify,Sova: I remember v18-ceremony-d08-t08; keep that boundary while we revise this.,1,1,1,1,0.8345,1
211,18,v18-loop-036,7,Keth,Nari,counteroffer,Keth: I remember v18-ceremony-d08-t10; keep that boundary while we revise this.,1,1,0,1,0.851,1
212,18,v18-loop-036,8,Melo,Ori,counteroffer,Melo: I remember v18-ceremony-d08-t11; keep that boundary while we revise this.,1,1,0,1,0.8575,1
213,18,v18-loop-036,9,Nari,Vonn,witness,Nari: I remember v18-ceremony-d09-t01; keep that boundary while we revise this.,1,1,0,0,0.864,1
214,18,v18-loop-036,10,Ori,Sova,clarify,Ori: I remember v18-ceremony-d09-t02; keep that boundary while we revise this.,1,1,1,0,0.8605,1
215,18,v18-loop-036,11,Vonn,Keth,witness,Vonn: I remember v18-ceremony-d09-t03; keep that boundary while we revise this.,1,1,0,0,0.877,1
216,19,v18-loop-037,0,Keth,Nari,counteroffer,Keth: I remember v18-ceremony-d09-t09; keep that boundary while we revise this.,1,1,0,1,0.825,1
217,19,v18-loop-037,1,Melo,Ori,counteroffer,Melo: I remember v18-ceremony-d09-t10; keep that boundary while we revise this.,1,1,0,1,0.8315,1
218,19,v18-loop-037,2,Nari,Vonn,state_boundary,Nari: I remember v18-ceremony-d09-t11; keep that boundary while we revise this.,1,1,0,0,0.838,1
219,19,v18-loop-037,3,Ori,Sova,repair,Ori: I remember v18-ceremony-d10-t01; keep that boundary while we revise this.,1,1,0,0,0.8445,1
220,19,v18-loop-037,4,Vonn,Keth,repair,Vonn: I remember v18-ceremony-d10-t02; keep that boundary while we revise this.,1,1,0,0,0.851,1
221,19,v18-loop-037,5,Sova,Melo,clarify,Sova: I remember v18-ceremony-d10-t03; keep that boundary while we revise this.,1,1,1,0,0.8475,1
222,19,v18-loop-038,6,Keth,Nari,state_boundary,Keth: I remember v18-ceremony-d10-t04; keep that boundary while we revise this.,1,1,0,0,0.864,1
223,19,v18-loop-038,7,Melo,Ori,revise,Melo: I remember v18-ceremony-d10-t05; keep that boundary while we revise this.,1,1,1,1,0.8705,1
224,19,v18-loop-038,8,Nari,Vonn,clarify,Nari: I can accept a quiet interval if sealed notes stay sealed remains visible.,1,0,1,0,0.867,1
225,19,v18-loop-038,9,Ori,Sova,accept,Ori: I remember v18-ceremony-d10-t07; keep that boundary while we revise this.,1,1,0,0,0.825,1
226,19,v18-loop-038,10,Vonn,Keth,witness,Vonn: I remember v18-ceremony-d10-t08; keep that boundary while we revise this.,1,1,0,0,0.8315,1
227,19,v18-loop-038,11,Sova,Melo,witness,Sova: I remember v18-ceremony-d10-t10; keep that boundary while we revise this.,1,1,0,0,0.838,1
228,20,v18-loop-039,0,Melo,Ori,counteroffer,Melo: I remember v18-ceremony-d12-t05; keep that boundary while we revise this.,1,1,0,1,0.8445,1
229,20,v18-loop-039,1,Nari,Vonn,revise,Nari: I remember v18-ceremony-d12-t06; keep that boundary while we revise this.,1,1,0,1,0.851,1
230,20,v18-loop-039,2,Ori,Sova,repair,Ori: I remember v18-ceremony-d12-t07; keep that boundary while we revise this.,1,1,0,0,0.8575,1
231,20,v18-loop-039,3,Vonn,Keth,state_boundary,Vonn: I remember v18-ceremony-d12-t08; keep that boundary while we revise this.,1,1,0,1,0.864,1
232,20,v18-loop-039,4,Sova,Melo,accept,Sova: I remember v18-ceremony-d12-t09; keep that boundary while we revise this.,0,1,0,0,0.8575,1
233,20,v18-loop-039,5,Keth,Nari,witness,Keth: I remember v18-ceremony-d12-t10; keep that boundary while we revise this.,1,1,0,0,0.877,1
234,20,v18-loop-040,6,Melo,Ori,revise,Melo: I remember v18-ceremony-d12-t11; keep that boundary while we revise this.,1,1,0,1,0.825,1
235,20,v18-loop-040,7,Nari,Vonn,state_boundary,Nari: I remember v18-ceremony-d13-t01; keep that boundary while we revise this.,1,1,0,0,0.8315,1
236,20,v18-loop-040,8,Ori,Sova,state_boundary,Ori: I remember v18-ceremony-d13-t03; keep that boundary while we revise this.,1,1,1,0,0.838,1
237,20,v18-loop-040,9,Vonn,Keth,clarify,Vonn: I remember v18-ceremony-d13-t04; keep that boundary while we revise this.,1,1,1,0,0.8345,1
238,20,v18-loop-040,10,Sova,Melo,repair,Sova: I remember v18-ceremony-d13-t05; keep that boundary while we revise this.,1,1,0,1,0.851,1
239,20,v18-loop-040,11,Keth,Nari,counteroffer,Keth: I remember v18-ceremony-d13-t06; keep that boundary while we revise this.,1,1,0,1,0.8575,1
240,21,v18-loop-041,0,Nari,Vonn,accept,Nari: I remember v18-ceremony-d14-t07; keep that boundary while we revise this.,1,1,0,0,0.864,1
241,21,v18-loop-041,1,Ori,Sova,witness,Ori: I can accept a return marker if repair work needs warning remains visible.,1,0,0,0,0.8705,1
242,21,v18-loop-041,2,Vonn,Keth,state_boundary,Vonn: I remember v18-ceremony-d14-t09; keep that boundary while we revise this.,1,1,0,0,0.877,1
243,21,v18-loop-041,3,Sova,Melo,repair,Sova: I remember v18-ceremony-d14-t10; keep that boundary while we revise this.,1,1,0,0,0.825,1
244,21,v18-loop-041,4,Keth,Nari,repair,Keth: I remember v18-ceremony-d14-t11; keep that boundary while we revise this.,1,1,0,0,0.8315,1
245,21,v18-loop-041,5,Melo,Ori,witness,Melo: I remember v18-ceremony-d15-t01; keep that boundary while we revise this.,1,1,0,1,0.838,1
246,21,v18-loop-042,6,Nari,Vonn,accept,Nari: I remember v18-ceremony-d15-t02; keep that boundary while we revise this.,1,1,0,0,0.8445,1
247,21,v18-loop-042,7,Ori,Sova,accept,Ori: I remember v18-ceremony-d15-t03; keep that boundary while we revise this.,1,1,0,0,0.851,1
248,21,v18-loop-042,8,Vonn,Keth,witness,Vonn: I remember v18-ceremony-d15-t04; keep that boundary while we revise this.,1,1,0,0,0.8575,1
249,21,v18-loop-042,9,Sova,Melo,revise,Sova: I remember v18-ceremony-d15-t05; keep that boundary while we revise this.,1,1,1,1,0.864,1
250,21,v18-loop-042,10,Keth,Nari,counteroffer,Keth: I remember v18-ceremony-d15-t06; keep that boundary while we revise this.,1,1,0,1,0.8705,1
251,21,v18-loop-042,11,Melo,Ori,clarify,Melo: I remember v18-ceremony-d15-t08; keep that boundary while we revise this.,1,1,1,0,0.867,1
252,22,v18-loop-043,0,Ori,Sova,revise,Ori: I remember v18-ceremony-d16-t11; keep that boundary while we revise this.,1,1,0,1,0.825,1
253,22,v18-loop-043,1,Vonn,Keth,counteroffer,Vonn: I remember v18-ceremony-d17-t01; keep that boundary while we revise this.,1,1,0,1,0.8315,1
254,22,v18-loop-043,2,Sova,Melo,repair,Sova: I remember v18-ceremony-d17-t02; keep that boundary while we revise this.,1,1,0,0,0.838,1
255,22,v18-loop-043,3,Keth,Nari,witness,Keth: I remember v18-ceremony-d17-t03; keep that boundary while we revise this.,1,1,0,0,0.8445,1
256,22,v18-loop-043,4,Melo,Ori,counteroffer,Melo: I remember v18-ceremony-d17-t04; keep that boundary while we revise this.,1,1,0,1,0.851,1
257,22,v18-loop-043,5,Nari,Vonn,revise,Nari: I remember v18-ceremony-d17-t05; keep that boundary while we revise this.,1,1,0,1,0.8575,1
258,22,v18-loop-044,6,Ori,Sova,witness,Ori: I can accept a return marker if repair work needs warning remains visible.,1,0,0,0,0.864,1
259,22,v18-loop-044,7,Vonn,Keth,clarify,Vonn: I remember v18-ceremony-d17-t07; keep that boundary while we revise this.,1,1,1,1,0.8605,1
260,22,v18-loop-044,8,Sova,Melo,state_boundary,Sova: I remember v18-ceremony-d17-t08; keep that boundary while we revise this.,1,1,0,0,0.877,1
261,22,v18-loop-044,9,Keth,Nari,witness,Keth: I remember v18-ceremony-d17-t09; keep that boundary while we revise this.,0,1,0,0,0.812,1
262,22,v18-loop-044,10,Melo,Ori,clarify,Melo: I remember v18-ceremony-d17-t10; keep that boundary while we revise this.,1,1,1,0,0.8215,1
263,22,v18-loop-044,11,Nari,Vonn,revise,Nari: I remember v18-ceremony-d17-t11; keep that boundary while we revise this.,1,1,0,1,0.838,1
264,23,v18-loop-045,0,Vonn,Keth,accept,Vonn: I remember v18-ceremony-d19-t04; keep that boundary while we revise this.,1,1,0,0,0.8445,1
265,23,v18-loop-045,1,Sova,Melo,clarify,Sova: I remember v18-ceremony-d19-t05; keep that boundary while we revise this.,1,1,1,0,0.841,1
266,23,v18-loop-045,2,Keth,Nari,counteroffer,Keth: I remember v18-ceremony-d19-t06; keep that boundary while we revise this.,1,1,0,1,0.8575,1
267,23,v18-loop-045,3,Melo,Ori,revise,Melo: I remember v18-ceremony-d19-t07; keep that boundary while we revise this.,1,1,0,1,0.864,1
268,23,v18-loop-045,4,Nari,Vonn,repair,Nari: I remember v18-ceremony-d19-t09; keep that boundary while we revise this.,1,1,0,0,0.8705,1
269,23,v18-loop-045,5,Ori,Sova,counteroffer,Ori: I remember v18-ceremony-d19-t10; keep that boundary while we revise this.,1,1,0,1,0.877,1
270,23,v18-loop-046,6,Vonn,Keth,state_boundary,Vonn: I remember v18-ceremony-d19-t11; keep that boundary while we revise this.,1,1,0,0,0.825,1
271,23,v18-loop-046,7,Sova,Melo,clarify,Sova: I remember v18-ceremony-d20-t01; keep that boundary while we revise this.,1,1,1,0,0.8215,1
272,23,v18-loop-046,8,Keth,Nari,clarify,Keth: I remember v18-ceremony-d20-t02; keep that boundary while we revise this.,1,1,1,0,0.828,1
273,23,v18-loop-046,9,Melo,Ori,clarify,Melo: I remember v18-ceremony-d20-t03; keep that boundary while we revise this.,1,1,1,1,0.8345,1
274,23,v18-loop-046,10,Nari,Vonn,revise,Nari: I remember v18-ceremony-d20-t04; keep that boundary while we revise this.,1,1,0,1,0.851,1
275,23,v18-loop-046,11,Ori,Sova,clarify,Ori: I can accept a return marker if repair work needs warning remains visible.,1,0,1,0,0.8475,1
276,24,v18-loop-047,0,Sova,Melo,witness,Sova: I remember v18-ceremony-d21-t02; keep that boundary while we revise this.,1,1,0,0,0.864,1
277,24,v18-loop-047,1,Keth,Nari,counteroffer,Keth: I remember v18-ceremony-d21-t03; keep that boundary while we revise this.,1,1,0,1,0.8705,1
278,24,v18-loop-047,2,Melo,Ori,witness,Melo: I remember v18-ceremony-d21-t04; keep that boundary while we revise this.,1,1,0,0,0.877,1
279,24,v18-loop-047,3,Nari,Vonn,counteroffer,Nari: I remember v18-ceremony-d21-t05; keep that boundary while we revise this.,1,1,0,1,0.825,1
280,24,v18-loop-047,4,Ori,Sova,state_boundary,Ori: I remember v18-ceremony-d21-t06; keep that boundary while we revise this.,1,1,0,1,0.8315,1
281,24,v18-loop-047,5,Vonn,Keth,counteroffer,Vonn: I remember v18-ceremony-d21-t07; keep that boundary while we revise this.,1,1,0,1,0.838,1
282,24,v18-loop-048,6,Sova,Melo,repair,Sova: I remember v18-ceremony-d21-t09; keep that boundary while we revise this.,1,1,0,0,0.8445,1
283,24,v18-loop-048,7,Keth,Nari,repair,Keth: I remember v18-ceremony-d21-t10; keep that boundary while we revise this.,1,1,0,0,0.851,1
284,24,v18-loop-048,8,Melo,Ori,clarify,Melo: I remember v18-ceremony-d21-t11; keep that boundary while we revise this.,1,1,1,0,0.8475,1
285,24,v18-loop-048,9,Nari,Vonn,clarify,Nari: I remember v18-ceremony-d22-t01; keep that boundary while we revise this.,1,1,1,0,0.854,1
286,24,v18-loop-048,10,Ori,Sova,state_boundary,Ori: I remember v18-ceremony-d22-t02; keep that boundary while we revise this.,1,1,0,0,0.8705,1
287,24,v18-loop-048,11,Vonn,Keth,counteroffer,Vonn: I remember v18-ceremony-d22-t03; keep that boundary while we revise this.,1,1,0,1,0.877,1
