tick,day,resident,phrase_key,resident_reply_key,reply_text,schedule_reference,memory_reference,debt_reference,no_llm_call,no_autonomous_language_claim,private_workspace_hidden
0,1,Tovan,ask_schedule,greets_cautiously,Tovan greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:water_carry:d001:s00,water carry,True,True,True
1144,64,Milo,ask_debt,declines_politely,Milo declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:repair_promise:d064:s10,repair promise,True,True,True
1145,64,Sera,thank,names_current_task,Sera names current task; phrase=thank; no generated open chat.,recover focus,v60:sera:missed_greeting:d064:s11,missed greeting,True,True,True
1146,64,Tovan,request_space,asks_for_space,Tovan asks for space; phrase=request_space; no generated open chat.,repair awning,v60:tovan:care_favor:d064:s12,care favor,True,True,True
1147,64,Nia,greet,thanks_briefly,Nia thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:nia:route_warning:d064:s13,route warning,True,True,True
1148,64,Ari,ask_schedule,greets_cautiously,Ari greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:tool_loan:d064:s14,tool loan,True,True,True
1149,64,Fay,offer_help,accepts_bounded_help,Fay accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:water_carry:d064:s15,water carry,True,True,True
1150,64,Milo,apologize,explains_debt,Milo explains debt; phrase=apologize; no generated open chat.,map safe route,v60:milo:repair_promise:d064:s16,repair promise,True,True,True
1151,64,Sera,ask_debt,declines_politely,Sera declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:missed_greeting:d064:s17,missed greeting,True,True,True
1152,65,Tovan,request_space,explains_debt,Tovan explains debt; phrase=request_space; no generated open chat.,repair awning,v60:tovan:route_warning:d065:s00,route warning,True,True,True
1153,65,Nia,greet,declines_politely,Nia declines politely; phrase=greet; no generated open chat.,sort herbs,v60:nia:tool_loan:d065:s01,tool loan,True,True,True
1154,65,Ari,ask_schedule,names_current_task,Ari names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:water_carry:d065:s02,water carry,True,True,True
1155,65,Fay,offer_help,asks_for_space,Fay asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:repair_promise:d065:s03,repair promise,True,True,True
1156,65,Milo,apologize,thanks_briefly,Milo thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:milo:missed_greeting:d065:s04,missed greeting,True,True,True
1157,65,Sera,ask_debt,greets_cautiously,Sera greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:care_favor:d065:s05,care favor,True,True,True
1158,65,Tovan,thank,accepts_bounded_help,Tovan accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:tovan:route_warning:d065:s06,route warning,True,True,True
1159,65,Nia,request_space,explains_debt,Nia explains debt; phrase=request_space; no generated open chat.,repair awning,v60:nia:tool_loan:d065:s07,tool loan,True,True,True
1160,65,Ari,greet,declines_politely,Ari declines politely; phrase=greet; no generated open chat.,sort herbs,v60:ari:water_carry:d065:s08,water carry,True,True,True
1161,65,Fay,ask_schedule,names_current_task,Fay names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:repair_promise:d065:s09,repair promise,True,True,True
1162,65,Milo,offer_help,asks_for_space,Milo asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:missed_greeting:d065:s10,missed greeting,True,True,True
1163,65,Sera,apologize,thanks_briefly,Sera thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:sera:care_favor:d065:s11,care favor,True,True,True
1164,65,Tovan,ask_debt,greets_cautiously,Tovan greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:route_warning:d065:s12,route warning,True,True,True
1165,65,Nia,thank,accepts_bounded_help,Nia accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:nia:tool_loan:d065:s13,tool loan,True,True,True
1166,65,Ari,request_space,explains_debt,Ari explains debt; phrase=request_space; no generated open chat.,repair awning,v60:ari:water_carry:d065:s14,water carry,True,True,True
1167,65,Fay,greet,declines_politely,Fay declines politely; phrase=greet; no generated open chat.,sort herbs,v60:fay:repair_promise:d065:s15,repair promise,True,True,True
1168,65,Milo,ask_schedule,names_current_task,Milo names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:missed_greeting:d065:s16,missed greeting,True,True,True
1169,65,Sera,offer_help,asks_for_space,Sera asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:care_favor:d065:s17,care favor,True,True,True
1170,66,Tovan,ask_debt,names_current_task,Tovan names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:tool_loan:d066:s00,tool loan,True,True,True
1171,66,Nia,thank,asks_for_space,Nia asks for space; phrase=thank; no generated open chat.,recover focus,v60:nia:water_carry:d066:s01,water carry,True,True,True
1172,66,Ari,request_space,thanks_briefly,Ari thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:ari:repair_promise:d066:s02,repair promise,True,True,True
1173,66,Fay,greet,greets_cautiously,Fay greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:fay:missed_greeting:d066:s03,missed greeting,True,True,True
1174,66,Milo,ask_schedule,accepts_bounded_help,Milo accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:care_favor:d066:s04,care favor,True,True,True
1175,66,Sera,offer_help,explains_debt,Sera explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:route_warning:d066:s05,route warning,True,True,True
1176,66,Tovan,apologize,declines_politely,Tovan declines politely; phrase=apologize; no generated open chat.,map safe route,v60:tovan:tool_loan:d066:s06,tool loan,True,True,True
1177,66,Nia,ask_debt,names_current_task,Nia names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:water_carry:d066:s07,water carry,True,True,True
1178,66,Ari,thank,asks_for_space,Ari asks for space; phrase=thank; no generated open chat.,recover focus,v60:ari:repair_promise:d066:s08,repair promise,True,True,True
1179,66,Fay,request_space,thanks_briefly,Fay thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:fay:missed_greeting:d066:s09,missed greeting,True,True,True
1180,66,Milo,greet,greets_cautiously,Milo greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:milo:care_favor:d066:s10,care favor,True,True,True
1181,66,Sera,ask_schedule,accepts_bounded_help,Sera accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:route_warning:d066:s11,route warning,True,True,True
1182,66,Tovan,offer_help,explains_debt,Tovan explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:tool_loan:d066:s12,tool loan,True,True,True
1183,66,Nia,apologize,declines_politely,Nia declines politely; phrase=apologize; no generated open chat.,map safe route,v60:nia:water_carry:d066:s13,water carry,True,True,True
1184,66,Ari,ask_debt,names_current_task,Ari names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:repair_promise:d066:s14,repair promise,True,True,True
1185,66,Fay,thank,asks_for_space,Fay asks for space; phrase=thank; no generated open chat.,recover focus,v60:fay:missed_greeting:d066:s15,missed greeting,True,True,True
1186,66,Milo,request_space,thanks_briefly,Milo thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:milo:care_favor:d066:s16,care favor,True,True,True
1187,66,Sera,greet,greets_cautiously,Sera greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:sera:route_warning:d066:s17,route warning,True,True,True
1188,67,Tovan,offer_help,thanks_briefly,Tovan thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:water_carry:d067:s00,water carry,True,True,True
1189,67,Nia,apologize,greets_cautiously,Nia greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:nia:repair_promise:d067:s01,repair promise,True,True,True
1190,67,Ari,ask_debt,accepts_bounded_help,Ari accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:missed_greeting:d067:s02,missed greeting,True,True,True
1191,67,Fay,thank,explains_debt,Fay explains debt; phrase=thank; no generated open chat.,recover focus,v60:fay:care_favor:d067:s03,care favor,True,True,True
1192,67,Milo,request_space,declines_politely,Milo declines politely; phrase=request_space; no generated open chat.,repair awning,v60:milo:route_warning:d067:s04,route warning,True,True,True
1193,67,Sera,greet,names_current_task,Sera names current task; phrase=greet; no generated open chat.,sort herbs,v60:sera:tool_loan:d067:s05,tool loan,True,True,True
1194,67,Tovan,ask_schedule,asks_for_space,Tovan asks for space; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:water_carry:d067:s06,water carry,True,True,True
1195,67,Nia,offer_help,thanks_briefly,Nia thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:repair_promise:d067:s07,repair promise,True,True,True
1196,67,Ari,apologize,greets_cautiously,Ari greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:ari:missed_greeting:d067:s08,missed greeting,True,True,True
1197,67,Fay,ask_debt,accepts_bounded_help,Fay accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:care_favor:d067:s09,care favor,True,True,True
1198,67,Milo,thank,explains_debt,Milo explains debt; phrase=thank; no generated open chat.,recover focus,v60:milo:route_warning:d067:s10,route warning,True,True,True
1199,67,Sera,request_space,declines_politely,Sera declines politely; phrase=request_space; no generated open chat.,repair awning,v60:sera:tool_loan:d067:s11,tool loan,True,True,True
1200,67,Tovan,greet,names_current_task,Tovan names current task; phrase=greet; no generated open chat.,sort herbs,v60:tovan:water_carry:d067:s12,water carry,True,True,True
1201,67,Nia,ask_schedule,asks_for_space,Nia asks for space; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:repair_promise:d067:s13,repair promise,True,True,True
1202,67,Ari,offer_help,thanks_briefly,Ari thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:missed_greeting:d067:s14,missed greeting,True,True,True
1203,67,Fay,apologize,greets_cautiously,Fay greets cautiously; phrase=apologize; no generated open chat.,map safe route,v60:fay:care_favor:d067:s15,care favor,True,True,True
1204,67,Milo,ask_debt,accepts_bounded_help,Milo accepts bounded help; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:route_warning:d067:s16,route warning,True,True,True
1205,67,Sera,thank,explains_debt,Sera explains debt; phrase=thank; no generated open chat.,recover focus,v60:sera:tool_loan:d067:s17,tool loan,True,True,True
1206,68,Tovan,greet,accepts_bounded_help,Tovan accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:tovan:repair_promise:d068:s00,repair promise,True,True,True
1207,68,Nia,ask_schedule,explains_debt,Nia explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:missed_greeting:d068:s01,missed greeting,True,True,True
1208,68,Ari,offer_help,declines_politely,Ari declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:care_favor:d068:s02,care favor,True,True,True
1209,68,Fay,apologize,names_current_task,Fay names current task; phrase=apologize; no generated open chat.,map safe route,v60:fay:route_warning:d068:s03,route warning,True,True,True
1210,68,Milo,ask_debt,asks_for_space,Milo asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:tool_loan:d068:s04,tool loan,True,True,True
1211,68,Sera,thank,thanks_briefly,Sera thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:sera:water_carry:d068:s05,water carry,True,True,True
1212,68,Tovan,request_space,greets_cautiously,Tovan greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:tovan:repair_promise:d068:s06,repair promise,True,True,True
1213,68,Nia,greet,accepts_bounded_help,Nia accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:nia:missed_greeting:d068:s07,missed greeting,True,True,True
1214,68,Ari,ask_schedule,explains_debt,Ari explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:care_favor:d068:s08,care favor,True,True,True
1215,68,Fay,offer_help,declines_politely,Fay declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:route_warning:d068:s09,route warning,True,True,True
1216,68,Milo,apologize,names_current_task,Milo names current task; phrase=apologize; no generated open chat.,map safe route,v60:milo:tool_loan:d068:s10,tool loan,True,True,True
1217,68,Sera,ask_debt,asks_for_space,Sera asks for space; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:water_carry:d068:s11,water carry,True,True,True
1218,68,Tovan,thank,thanks_briefly,Tovan thanks briefly; phrase=thank; no generated open chat.,recover focus,v60:tovan:repair_promise:d068:s12,repair promise,True,True,True
1219,68,Nia,request_space,greets_cautiously,Nia greets cautiously; phrase=request_space; no generated open chat.,repair awning,v60:nia:missed_greeting:d068:s13,missed greeting,True,True,True
1220,68,Ari,greet,accepts_bounded_help,Ari accepts bounded help; phrase=greet; no generated open chat.,sort herbs,v60:ari:care_favor:d068:s14,care favor,True,True,True
1221,68,Fay,ask_schedule,explains_debt,Fay explains debt; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:route_warning:d068:s15,route warning,True,True,True
1222,68,Milo,offer_help,declines_politely,Milo declines politely; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:tool_loan:d068:s16,tool loan,True,True,True
1223,68,Sera,apologize,names_current_task,Sera names current task; phrase=apologize; no generated open chat.,map safe route,v60:sera:water_carry:d068:s17,water carry,True,True,True
1224,69,Tovan,thank,declines_politely,Tovan declines politely; phrase=thank; no generated open chat.,recover focus,v60:tovan:missed_greeting:d069:s00,missed greeting,True,True,True
1225,69,Nia,request_space,names_current_task,Nia names current task; phrase=request_space; no generated open chat.,repair awning,v60:nia:care_favor:d069:s01,care favor,True,True,True
1226,69,Ari,greet,asks_for_space,Ari asks for space; phrase=greet; no generated open chat.,sort herbs,v60:ari:route_warning:d069:s02,route warning,True,True,True
1227,69,Fay,ask_schedule,thanks_briefly,Fay thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:tool_loan:d069:s03,tool loan,True,True,True
1228,69,Milo,offer_help,greets_cautiously,Milo greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:water_carry:d069:s04,water carry,True,True,True
1229,69,Sera,apologize,accepts_bounded_help,Sera accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:sera:repair_promise:d069:s05,repair promise,True,True,True
1230,69,Tovan,ask_debt,explains_debt,Tovan explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:missed_greeting:d069:s06,missed greeting,True,True,True
1231,69,Nia,thank,declines_politely,Nia declines politely; phrase=thank; no generated open chat.,recover focus,v60:nia:care_favor:d069:s07,care favor,True,True,True
1232,69,Ari,request_space,names_current_task,Ari names current task; phrase=request_space; no generated open chat.,repair awning,v60:ari:route_warning:d069:s08,route warning,True,True,True
1233,69,Fay,greet,asks_for_space,Fay asks for space; phrase=greet; no generated open chat.,sort herbs,v60:fay:tool_loan:d069:s09,tool loan,True,True,True
1234,69,Milo,ask_schedule,thanks_briefly,Milo thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:water_carry:d069:s10,water carry,True,True,True
1235,69,Sera,offer_help,greets_cautiously,Sera greets cautiously; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:repair_promise:d069:s11,repair promise,True,True,True
1236,69,Tovan,apologize,accepts_bounded_help,Tovan accepts bounded help; phrase=apologize; no generated open chat.,map safe route,v60:tovan:missed_greeting:d069:s12,missed greeting,True,True,True
1237,69,Nia,ask_debt,explains_debt,Nia explains debt; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:care_favor:d069:s13,care favor,True,True,True
1238,69,Ari,thank,declines_politely,Ari declines politely; phrase=thank; no generated open chat.,recover focus,v60:ari:route_warning:d069:s14,route warning,True,True,True
1239,69,Fay,request_space,names_current_task,Fay names current task; phrase=request_space; no generated open chat.,repair awning,v60:fay:tool_loan:d069:s15,tool loan,True,True,True
1240,69,Milo,greet,asks_for_space,Milo asks for space; phrase=greet; no generated open chat.,sort herbs,v60:milo:water_carry:d069:s16,water carry,True,True,True
1241,69,Sera,ask_schedule,thanks_briefly,Sera thanks briefly; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:repair_promise:d069:s17,repair promise,True,True,True
1242,70,Tovan,apologize,asks_for_space,Tovan asks for space; phrase=apologize; no generated open chat.,map safe route,v60:tovan:care_favor:d070:s00,care favor,True,True,True
1243,70,Nia,ask_debt,thanks_briefly,Nia thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:route_warning:d070:s01,route warning,True,True,True
1244,70,Ari,thank,greets_cautiously,Ari greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:ari:tool_loan:d070:s02,tool loan,True,True,True
1245,70,Fay,request_space,accepts_bounded_help,Fay accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:fay:water_carry:d070:s03,water carry,True,True,True
1246,70,Milo,greet,explains_debt,Milo explains debt; phrase=greet; no generated open chat.,sort herbs,v60:milo:repair_promise:d070:s04,repair promise,True,True,True
1247,70,Sera,ask_schedule,declines_politely,Sera declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:missed_greeting:d070:s05,missed greeting,True,True,True
1248,70,Tovan,offer_help,names_current_task,Tovan names current task; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:care_favor:d070:s06,care favor,True,True,True
1249,70,Nia,apologize,asks_for_space,Nia asks for space; phrase=apologize; no generated open chat.,map safe route,v60:nia:route_warning:d070:s07,route warning,True,True,True
1250,70,Ari,ask_debt,thanks_briefly,Ari thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:tool_loan:d070:s08,tool loan,True,True,True
1251,70,Fay,thank,greets_cautiously,Fay greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:fay:water_carry:d070:s09,water carry,True,True,True
1252,70,Milo,request_space,accepts_bounded_help,Milo accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:milo:repair_promise:d070:s10,repair promise,True,True,True
1253,70,Sera,greet,explains_debt,Sera explains debt; phrase=greet; no generated open chat.,sort herbs,v60:sera:missed_greeting:d070:s11,missed greeting,True,True,True
1254,70,Tovan,ask_schedule,declines_politely,Tovan declines politely; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:care_favor:d070:s12,care favor,True,True,True
1255,70,Nia,offer_help,names_current_task,Nia names current task; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:route_warning:d070:s13,route warning,True,True,True
1256,70,Ari,apologize,asks_for_space,Ari asks for space; phrase=apologize; no generated open chat.,map safe route,v60:ari:tool_loan:d070:s14,tool loan,True,True,True
1257,70,Fay,ask_debt,thanks_briefly,Fay thanks briefly; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:water_carry:d070:s15,water carry,True,True,True
1258,70,Milo,thank,greets_cautiously,Milo greets cautiously; phrase=thank; no generated open chat.,recover focus,v60:milo:repair_promise:d070:s16,repair promise,True,True,True
1259,70,Sera,request_space,accepts_bounded_help,Sera accepts bounded help; phrase=request_space; no generated open chat.,repair awning,v60:sera:missed_greeting:d070:s17,missed greeting,True,True,True
1260,71,Tovan,ask_schedule,greets_cautiously,Tovan greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:tovan:route_warning:d071:s00,route warning,True,True,True
1261,71,Nia,offer_help,accepts_bounded_help,Nia accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:nia:tool_loan:d071:s01,tool loan,True,True,True
1262,71,Ari,apologize,explains_debt,Ari explains debt; phrase=apologize; no generated open chat.,map safe route,v60:ari:water_carry:d071:s02,water carry,True,True,True
1263,71,Fay,ask_debt,declines_politely,Fay declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:fay:repair_promise:d071:s03,repair promise,True,True,True
1264,71,Milo,thank,names_current_task,Milo names current task; phrase=thank; no generated open chat.,recover focus,v60:milo:missed_greeting:d071:s04,missed greeting,True,True,True
1265,71,Sera,request_space,asks_for_space,Sera asks for space; phrase=request_space; no generated open chat.,repair awning,v60:sera:care_favor:d071:s05,care favor,True,True,True
1266,71,Tovan,greet,thanks_briefly,Tovan thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:tovan:route_warning:d071:s06,route warning,True,True,True
1267,71,Nia,ask_schedule,greets_cautiously,Nia greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:nia:tool_loan:d071:s07,tool loan,True,True,True
1268,71,Ari,offer_help,accepts_bounded_help,Ari accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:ari:water_carry:d071:s08,water carry,True,True,True
1269,71,Fay,apologize,explains_debt,Fay explains debt; phrase=apologize; no generated open chat.,map safe route,v60:fay:repair_promise:d071:s09,repair promise,True,True,True
1270,71,Milo,ask_debt,declines_politely,Milo declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:milo:missed_greeting:d071:s10,missed greeting,True,True,True
1271,71,Sera,thank,names_current_task,Sera names current task; phrase=thank; no generated open chat.,recover focus,v60:sera:care_favor:d071:s11,care favor,True,True,True
1272,71,Tovan,request_space,asks_for_space,Tovan asks for space; phrase=request_space; no generated open chat.,repair awning,v60:tovan:route_warning:d071:s12,route warning,True,True,True
1273,71,Nia,greet,thanks_briefly,Nia thanks briefly; phrase=greet; no generated open chat.,sort herbs,v60:nia:tool_loan:d071:s13,tool loan,True,True,True
1274,71,Ari,ask_schedule,greets_cautiously,Ari greets cautiously; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:water_carry:d071:s14,water carry,True,True,True
1275,71,Fay,offer_help,accepts_bounded_help,Fay accepts bounded help; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:repair_promise:d071:s15,repair promise,True,True,True
1276,71,Milo,apologize,explains_debt,Milo explains debt; phrase=apologize; no generated open chat.,map safe route,v60:milo:missed_greeting:d071:s16,missed greeting,True,True,True
1277,71,Sera,ask_debt,declines_politely,Sera declines politely; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:care_favor:d071:s17,care favor,True,True,True
1278,72,Tovan,request_space,explains_debt,Tovan explains debt; phrase=request_space; no generated open chat.,repair awning,v60:tovan:tool_loan:d072:s00,tool loan,True,True,True
1279,72,Nia,greet,declines_politely,Nia declines politely; phrase=greet; no generated open chat.,sort herbs,v60:nia:water_carry:d072:s01,water carry,True,True,True
1280,72,Ari,ask_schedule,names_current_task,Ari names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:ari:repair_promise:d072:s02,repair promise,True,True,True
1281,72,Fay,offer_help,asks_for_space,Fay asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:fay:missed_greeting:d072:s03,missed greeting,True,True,True
1282,72,Milo,apologize,thanks_briefly,Milo thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:milo:care_favor:d072:s04,care favor,True,True,True
1283,72,Sera,ask_debt,greets_cautiously,Sera greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:sera:route_warning:d072:s05,route warning,True,True,True
1284,72,Tovan,thank,accepts_bounded_help,Tovan accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:tovan:tool_loan:d072:s06,tool loan,True,True,True
1285,72,Nia,request_space,explains_debt,Nia explains debt; phrase=request_space; no generated open chat.,repair awning,v60:nia:water_carry:d072:s07,water carry,True,True,True
1286,72,Ari,greet,declines_politely,Ari declines politely; phrase=greet; no generated open chat.,sort herbs,v60:ari:repair_promise:d072:s08,repair promise,True,True,True
1287,72,Fay,ask_schedule,names_current_task,Fay names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:fay:missed_greeting:d072:s09,missed greeting,True,True,True
1288,72,Milo,offer_help,asks_for_space,Milo asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:milo:care_favor:d072:s10,care favor,True,True,True
1289,72,Sera,apologize,thanks_briefly,Sera thanks briefly; phrase=apologize; no generated open chat.,map safe route,v60:sera:route_warning:d072:s11,route warning,True,True,True
1290,72,Tovan,ask_debt,greets_cautiously,Tovan greets cautiously; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:tool_loan:d072:s12,tool loan,True,True,True
1291,72,Nia,thank,accepts_bounded_help,Nia accepts bounded help; phrase=thank; no generated open chat.,recover focus,v60:nia:water_carry:d072:s13,water carry,True,True,True
1292,72,Ari,request_space,explains_debt,Ari explains debt; phrase=request_space; no generated open chat.,repair awning,v60:ari:repair_promise:d072:s14,repair promise,True,True,True
1293,72,Fay,greet,declines_politely,Fay declines politely; phrase=greet; no generated open chat.,sort herbs,v60:fay:missed_greeting:d072:s15,missed greeting,True,True,True
1294,72,Milo,ask_schedule,names_current_task,Milo names current task; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:care_favor:d072:s16,care favor,True,True,True
1295,72,Sera,offer_help,asks_for_space,Sera asks for space; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:route_warning:d072:s17,route warning,True,True,True
1296,73,Tovan,ask_debt,names_current_task,Tovan names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:tovan:water_carry:d073:s00,water carry,True,True,True
1297,73,Nia,thank,asks_for_space,Nia asks for space; phrase=thank; no generated open chat.,recover focus,v60:nia:repair_promise:d073:s01,repair promise,True,True,True
1298,73,Ari,request_space,thanks_briefly,Ari thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:ari:missed_greeting:d073:s02,missed greeting,True,True,True
1299,73,Fay,greet,greets_cautiously,Fay greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:fay:care_favor:d073:s03,care favor,True,True,True
1300,73,Milo,ask_schedule,accepts_bounded_help,Milo accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:milo:route_warning:d073:s04,route warning,True,True,True
1301,73,Sera,offer_help,explains_debt,Sera explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:sera:tool_loan:d073:s05,tool loan,True,True,True
1302,73,Tovan,apologize,declines_politely,Tovan declines politely; phrase=apologize; no generated open chat.,map safe route,v60:tovan:water_carry:d073:s06,water carry,True,True,True
1303,73,Nia,ask_debt,names_current_task,Nia names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:nia:repair_promise:d073:s07,repair promise,True,True,True
1304,73,Ari,thank,asks_for_space,Ari asks for space; phrase=thank; no generated open chat.,recover focus,v60:ari:missed_greeting:d073:s08,missed greeting,True,True,True
1305,73,Fay,request_space,thanks_briefly,Fay thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:fay:care_favor:d073:s09,care favor,True,True,True
1306,73,Milo,greet,greets_cautiously,Milo greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:milo:route_warning:d073:s10,route warning,True,True,True
1307,73,Sera,ask_schedule,accepts_bounded_help,Sera accepts bounded help; phrase=ask_schedule; no generated open chat.,carry water,v60:sera:tool_loan:d073:s11,tool loan,True,True,True
1308,73,Tovan,offer_help,explains_debt,Tovan explains debt; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:water_carry:d073:s12,water carry,True,True,True
1309,73,Nia,apologize,declines_politely,Nia declines politely; phrase=apologize; no generated open chat.,map safe route,v60:nia:repair_promise:d073:s13,repair promise,True,True,True
1310,73,Ari,ask_debt,names_current_task,Ari names current task; phrase=ask_debt; no generated open chat.,rest after rain,v60:ari:missed_greeting:d073:s14,missed greeting,True,True,True
1311,73,Fay,thank,asks_for_space,Fay asks for space; phrase=thank; no generated open chat.,recover focus,v60:fay:care_favor:d073:s15,care favor,True,True,True
1312,73,Milo,request_space,thanks_briefly,Milo thanks briefly; phrase=request_space; no generated open chat.,repair awning,v60:milo:route_warning:d073:s16,route warning,True,True,True
1313,73,Sera,greet,greets_cautiously,Sera greets cautiously; phrase=greet; no generated open chat.,sort herbs,v60:sera:tool_loan:d073:s17,tool loan,True,True,True
1314,74,Tovan,offer_help,thanks_briefly,Tovan thanks briefly; phrase=offer_help; no generated open chat.,dry cloaks,v60:tovan:repair_promise:d074:s00,repair promise,True,True,True
