tick,day,conflict_id,avatar_decision,affected_agents,decision_kind,visible_options,typed_decision_confidence,public_reason,resolved_live,creates_later_obligation
131,11,v16-conflict-d11-t11,ask_public_reason,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.869,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
132,12,v16-conflict-d12-t00,protect_boundary,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.833,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,0
133,12,v16-conflict-d12-t01,protect_boundary,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8384,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
134,12,v16-conflict-d12-t02,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8438,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
135,12,v16-conflict-d12-t03,ask_public_reason,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
136,12,v16-conflict-d12-t04,ask_public_reason,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,0,0
137,12,v16-conflict-d12-t05,split_access,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,0
138,12,v16-conflict-d12-t06,split_access,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
139,12,v16-conflict-d12-t07,protect_boundary,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
140,12,v16-conflict-d12-t08,defer_until_rest,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
141,12,v16-conflict-d12-t09,ask_public_reason,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
142,12,v16-conflict-d12-t10,rotate_priority,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.869,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,0,0
143,12,v16-conflict-d12-t11,rotate_priority,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.803,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
144,13,v16-conflict-d13-t00,ask_public_reason,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
145,13,v16-conflict-d13-t01,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8438,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
146,13,v16-conflict-d13-t02,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8492,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
147,13,v16-conflict-d13-t03,defer_until_rest,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,0
148,13,v16-conflict-d13-t04,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
149,13,v16-conflict-d13-t05,protect_boundary,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8654,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
150,13,v16-conflict-d13-t06,split_access,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
151,13,v16-conflict-d13-t07,repair_first,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8762,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
152,13,v16-conflict-d13-t08,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,0
153,13,v16-conflict-d13-t09,defer_until_rest,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.869,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,0,0
154,13,v16-conflict-d13-t10,repair_first,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.821,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
155,13,v16-conflict-d13-t11,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
156,14,v16-conflict-d14-t00,split_access,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
157,14,v16-conflict-d14-t01,rotate_priority,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,0
158,14,v16-conflict-d14-t02,split_access,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
159,14,v16-conflict-d14-t03,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,0,0
160,14,v16-conflict-d14-t04,repair_first,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8654,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
161,14,v16-conflict-d14-t05,rotate_priority,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
162,14,v16-conflict-d14-t06,repair_first,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8762,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,0
163,14,v16-conflict-d14-t07,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
164,14,v16-conflict-d14-t08,split_access,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.869,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
165,14,v16-conflict-d14-t09,split_access,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.803,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
166,14,v16-conflict-d14-t10,ask_public_reason,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
167,14,v16-conflict-d14-t11,rotate_priority,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,0
168,15,v16-conflict-d15-t00,protect_boundary,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8492,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
169,15,v16-conflict-d15-t01,protect_boundary,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8546,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
170,15,v16-conflict-d15-t02,split_access,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,0,0
171,15,v16-conflict-d15-t03,defer_until_rest,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
172,15,v16-conflict-d15-t04,protect_boundary,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,0
173,15,v16-conflict-d15-t05,repair_first,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8762,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
174,15,v16-conflict-d15-t06,ask_public_reason,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
175,15,v16-conflict-d15-t07,split_access,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.869,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
176,15,v16-conflict-d15-t08,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.803,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,0,0
177,15,v16-conflict-d15-t09,protect_boundary,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8384,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,0
178,15,v16-conflict-d15-t10,ask_public_reason,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
179,15,v16-conflict-d15-t11,repair_first,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8492,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
180,16,v16-conflict-d16-t00,ask_public_reason,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
181,16,v16-conflict-d16-t01,rotate_priority,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
182,16,v16-conflict-d16-t02,repair_first,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8654,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,0
183,16,v16-conflict-d16-t03,ask_public_reason,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
184,16,v16-conflict-d16-t04,split_access,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
185,16,v16-conflict-d16-t05,protect_boundary,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
186,16,v16-conflict-d16-t06,defer_until_rest,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.869,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
187,16,v16-conflict-d16-t07,defer_until_rest,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.803,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,0,0
188,16,v16-conflict-d16-t08,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
189,16,v16-conflict-d16-t09,protect_boundary,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8438,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
190,16,v16-conflict-d16-t10,ask_public_reason,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
191,16,v16-conflict-d16-t11,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8546,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
192,17,v16-conflict-d17-t00,split_access,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.83,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,0
193,17,v16-conflict-d17-t01,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8474,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,0,0
194,17,v16-conflict-d17-t02,split_access,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
195,17,v16-conflict-d17-t03,defer_until_rest,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
196,17,v16-conflict-d17-t04,rotate_priority,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
197,17,v16-conflict-d17-t05,split_access,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.869,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,0
198,17,v16-conflict-d17-t06,protect_boundary,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.821,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
199,17,v16-conflict-d17-t07,split_access,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
200,17,v16-conflict-d17-t08,defer_until_rest,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
201,17,v16-conflict-d17-t09,protect_boundary,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8492,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
202,17,v16-conflict-d17-t10,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8546,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,0
203,17,v16-conflict-d17-t11,defer_until_rest,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.842,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
204,18,v16-conflict-d18-t00,protect_boundary,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8654,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,0,0
205,18,v16-conflict-d18-t01,split_access,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
206,18,v16-conflict-d18-t02,rotate_priority,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
207,18,v16-conflict-d18-t03,rotate_priority,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,0
208,18,v16-conflict-d18-t04,rotate_priority,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.869,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
209,18,v16-conflict-d18-t05,repair_first,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.821,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
210,18,v16-conflict-d18-t06,repair_first,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8384,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,0,0
211,18,v16-conflict-d18-t07,defer_until_rest,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
212,18,v16-conflict-d18-t08,split_access,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,0
213,18,v16-conflict-d18-t09,rotate_priority,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
214,18,v16-conflict-d18-t10,ask_public_reason,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.842,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
215,18,v16-conflict-d18-t11,protect_boundary,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8534,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
216,19,v16-conflict-d19-t00,split_access,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
217,19,v16-conflict-d19-t01,rotate_priority,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,0
218,19,v16-conflict-d19-t02,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
219,19,v16-conflict-d19-t03,ask_public_reason,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.869,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
220,19,v16-conflict-d19-t04,repair_first,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.821,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
221,19,v16-conflict-d19-t05,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8204,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,0,0
222,19,v16-conflict-d19-t06,protect_boundary,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8438,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,0
223,19,v16-conflict-d19-t07,ask_public_reason,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
224,19,v16-conflict-d19-t08,split_access,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
225,19,v16-conflict-d19-t09,protect_boundary,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.86,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
226,19,v16-conflict-d19-t10,split_access,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8354,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
227,19,v16-conflict-d19-t11,rotate_priority,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,0,0
228,20,v16-conflict-d20-t00,split_access,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
229,20,v16-conflict-d20-t01,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
230,20,v16-conflict-d20-t02,repair_first,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.887,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
231,20,v16-conflict-d20-t03,defer_until_rest,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.803,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
232,20,v16-conflict-d20-t04,repair_first,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8384,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,0
233,20,v16-conflict-d20-t05,defer_until_rest,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
234,20,v16-conflict-d20-t06,rotate_priority,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
235,20,v16-conflict-d20-t07,defer_until_rest,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
236,20,v16-conflict-d20-t08,repair_first,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.86,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
237,20,v16-conflict-d20-t09,rotate_priority,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8354,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,0
238,20,v16-conflict-d20-t10,defer_until_rest,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8528,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,0,0
239,20,v16-conflict-d20-t11,ask_public_reason,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8582,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
240,21,v16-conflict-d21-t00,repair_first,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8816,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
241,21,v16-conflict-d21-t01,protect_boundary,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.887,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,1
242,21,v16-conflict-d21-t02,protect_boundary,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.821,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,0
243,21,v16-conflict-d21-t03,repair_first,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8384,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
244,21,v16-conflict-d21-t04,defer_until_rest,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8258,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,0,0
245,21,v16-conflict-d21-t05,split_access,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8312,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
246,21,v16-conflict-d21-t06,ask_public_reason,Nari|Vonn,repair,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8366,Nari's privacy ledger and Vonn's quiet recovery both affect tomorrow's public access.,1,1
247,21,v16-conflict-d21-t07,repair_first,Ori|Sova,trust,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.86,Ori's unfinished repair and Sova's rest space both affect tomorrow's public access.,1,0
248,21,v16-conflict-d21-t08,ask_public_reason,Vonn|Keth,privacy,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8354,Vonn's quiet recovery and Keth's safe route warning both affect tomorrow's public access.,1,1
249,21,v16-conflict-d21-t09,protect_boundary,Sova|Melo,boundary,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8708,Sova's rest space and Melo's fair turn-taking both affect tomorrow's public access.,1,1
250,21,v16-conflict-d21-t10,repair_first,Keth|Nari,access,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8762,Keth's safe route warning and Nari's privacy ledger both affect tomorrow's public access.,1,1
251,21,v16-conflict-d21-t11,ask_public_reason,Melo|Ori,schedule,protect boundary|split access|defer|repair first|rotate priority|ask public reason,0.8636,Melo's fair turn-taking and Ori's unfinished repair both affect tomorrow's public access.,1,1
