generation,year,settlement_id,dialect_id,lexeme,meaning,grammatical_shift,loan_source,usage_count,inherited_lexeme,drift_rate,public_translation
30,900,orchard,orchard-dialect-3,ivo-saan-3,dry seed continuity / satchel-vow,agent-object respect marker,roofward,152,True,0.02,ivo-saan-3: ask before crossing dry seed continuity
30,900,repair_ring,repair_ring-dialect-3,pax-voro-3,safe repair space / spark-distance,agent-object respect marker,archive,155,True,0.024,pax-voro-3: ask before crossing safe repair space
31,930,riverbend,riverbend-dialect-4,ther-juno-4,dry crossing / plank-listening,ownership suffix,orchard,144,True,0.04,ther-juno-4: ask before crossing dry crossing
31,930,roofward,roofward-dialect-4,nia-saan-4,herb preservation / sun-ledger,ownership suffix,repair_ring,147,True,0.012,nia-saan-4: ask before crossing herb preservation
31,930,archive,archive-dialect-4,keth-voro-4,signal memory / spool-naming,ownership suffix,riverbend,150,True,0.016,keth-voro-4: ask before crossing signal memory
31,930,signal,signal-dialect-4,ivo-lum-4,path visibility / lantern-turning,ownership suffix,roofward,153,True,0.02,ivo-lum-4: ask before crossing path visibility
31,930,orchard,orchard-dialect-4,pax-ther-4,dry seed continuity / satchel-vow,ownership suffix,archive,156,True,0.024,pax-ther-4: ask before crossing dry seed continuity
31,930,repair_ring,repair_ring-dialect-4,ari-nia-4,safe repair space / spark-distance,ownership suffix,signal,159,True,0.028,ari-nia-4: ask before crossing safe repair space
32,960,riverbend,riverbend-dialect-4,nia-lum-4,dry crossing / plank-listening,ownership suffix,orchard,148,True,0.012,nia-lum-4: ask before crossing dry crossing
32,960,roofward,roofward-dialect-4,keth-ther-4,herb preservation / sun-ledger,ownership suffix,repair_ring,151,True,0.016,keth-ther-4: ask before crossing herb preservation
32,960,archive,archive-dialect-4,ivo-nia-4,signal memory / spool-naming,ownership suffix,riverbend,154,True,0.02,ivo-nia-4: ask before crossing signal memory
32,960,signal,signal-dialect-4,pax-keth-4,path visibility / lantern-turning,ownership suffix,roofward,157,True,0.024,pax-keth-4: ask before crossing path visibility
32,960,orchard,orchard-dialect-4,ari-ivo-4,dry seed continuity / satchel-vow,ownership suffix,archive,160,True,0.028,ari-ivo-4: ask before crossing dry seed continuity
32,960,repair_ring,repair_ring-dialect-4,fay-pax-4,safe repair space / spark-distance,ownership suffix,signal,163,True,0.032,fay-pax-4: ask before crossing safe repair space
33,990,riverbend,riverbend-dialect-4,keth-keth-4,dry crossing / plank-listening,route tense,orchard,152,True,0.016,keth-keth-4: ask before crossing dry crossing
33,990,roofward,roofward-dialect-4,ivo-ivo-4,herb preservation / sun-ledger,route tense,repair_ring,155,True,0.02,ivo-ivo-4: ask before crossing herb preservation
33,990,archive,archive-dialect-4,pax-pax-4,signal memory / spool-naming,route tense,riverbend,158,True,0.024,pax-pax-4: ask before crossing signal memory
33,990,signal,signal-dialect-4,ari-ari-4,path visibility / lantern-turning,route tense,roofward,161,True,0.028,ari-ari-4: ask before crossing path visibility
33,990,orchard,orchard-dialect-4,fay-fay-4,dry seed continuity / satchel-vow,route tense,archive,164,True,0.032,fay-fay-4: ask before crossing dry seed continuity
33,990,repair_ring,repair_ring-dialect-4,milo-milo-4,safe repair space / spark-distance,route tense,signal,167,True,0.036,milo-milo-4: ask before crossing safe repair space
34,1020,riverbend,riverbend-dialect-4,ivo-ari-4,dry crossing / plank-listening,ownership suffix,orchard,156,True,0.02,ivo-ari-4: ask before crossing dry crossing
34,1020,roofward,roofward-dialect-4,pax-fay-4,herb preservation / sun-ledger,ownership suffix,repair_ring,159,True,0.024,pax-fay-4: ask before crossing herb preservation
34,1020,archive,archive-dialect-4,ari-milo-4,signal memory / spool-naming,ownership suffix,riverbend,162,True,0.028,ari-milo-4: ask before crossing signal memory
34,1020,signal,signal-dialect-4,fay-juno-4,path visibility / lantern-turning,ownership suffix,roofward,165,True,0.032,fay-juno-4: ask before crossing path visibility
34,1020,orchard,orchard-dialect-4,milo-saan-4,dry seed continuity / satchel-vow,ownership suffix,archive,168,True,0.036,milo-saan-4: ask before crossing dry seed continuity
34,1020,repair_ring,repair_ring-dialect-4,juno-voro-4,safe repair space / spark-distance,ownership suffix,signal,171,True,0.04,juno-voro-4: ask before crossing safe repair space
35,1050,riverbend,riverbend-dialect-4,pax-juno-4,dry crossing / plank-listening,agent-object respect marker,orchard,160,True,0.024,pax-juno-4: ask before crossing dry crossing
35,1050,roofward,roofward-dialect-4,ari-saan-4,herb preservation / sun-ledger,agent-object respect marker,repair_ring,163,True,0.028,ari-saan-4: ask before crossing herb preservation
35,1050,archive,archive-dialect-4,fay-voro-4,signal memory / spool-naming,agent-object respect marker,riverbend,166,True,0.032,fay-voro-4: ask before crossing signal memory
35,1050,signal,signal-dialect-4,milo-lum-4,path visibility / lantern-turning,agent-object respect marker,roofward,169,True,0.036,milo-lum-4: ask before crossing path visibility
35,1050,orchard,orchard-dialect-4,juno-ther-4,dry seed continuity / satchel-vow,agent-object respect marker,archive,172,True,0.04,juno-ther-4: ask before crossing dry seed continuity
35,1050,repair_ring,repair_ring-dialect-4,saan-nia-4,safe repair space / spark-distance,agent-object respect marker,signal,175,True,0.012,saan-nia-4: ask before crossing safe repair space
36,1080,riverbend,riverbend-dialect-4,ari-lum-4,dry crossing / plank-listening,route tense,orchard,164,True,0.028,ari-lum-4: ask before crossing dry crossing
36,1080,roofward,roofward-dialect-4,fay-ther-4,herb preservation / sun-ledger,route tense,repair_ring,167,True,0.032,fay-ther-4: ask before crossing herb preservation
36,1080,archive,archive-dialect-4,milo-nia-4,signal memory / spool-naming,route tense,riverbend,170,True,0.036,milo-nia-4: ask before crossing signal memory
36,1080,signal,signal-dialect-4,juno-keth-4,path visibility / lantern-turning,route tense,roofward,173,True,0.04,juno-keth-4: ask before crossing path visibility
36,1080,orchard,orchard-dialect-4,saan-ivo-4,dry seed continuity / satchel-vow,route tense,archive,176,True,0.012,saan-ivo-4: ask before crossing dry seed continuity
36,1080,repair_ring,repair_ring-dialect-4,voro-pax-4,safe repair space / spark-distance,route tense,signal,179,True,0.016,voro-pax-4: ask before crossing safe repair space
37,1110,riverbend,riverbend-dialect-4,fay-keth-4,dry crossing / plank-listening,ownership suffix,orchard,168,True,0.032,fay-keth-4: ask before crossing dry crossing
37,1110,roofward,roofward-dialect-4,milo-ivo-4,herb preservation / sun-ledger,ownership suffix,repair_ring,171,True,0.036,milo-ivo-4: ask before crossing herb preservation
37,1110,archive,archive-dialect-4,juno-pax-4,signal memory / spool-naming,ownership suffix,riverbend,174,True,0.04,juno-pax-4: ask before crossing signal memory
37,1110,signal,signal-dialect-4,saan-ari-4,path visibility / lantern-turning,ownership suffix,roofward,177,True,0.012,saan-ari-4: ask before crossing path visibility
37,1110,orchard,orchard-dialect-4,voro-fay-4,dry seed continuity / satchel-vow,ownership suffix,archive,180,True,0.016,voro-fay-4: ask before crossing dry seed continuity
37,1110,repair_ring,repair_ring-dialect-4,lum-milo-4,safe repair space / spark-distance,ownership suffix,signal,183,True,0.02,lum-milo-4: ask before crossing safe repair space
38,1140,riverbend,riverbend-dialect-4,milo-ari-4,dry crossing / plank-listening,ownership suffix,orchard,172,True,0.036,milo-ari-4: ask before crossing dry crossing
38,1140,roofward,roofward-dialect-4,juno-fay-4,herb preservation / sun-ledger,ownership suffix,repair_ring,175,True,0.04,juno-fay-4: ask before crossing herb preservation
38,1140,archive,archive-dialect-4,saan-milo-4,signal memory / spool-naming,ownership suffix,riverbend,178,True,0.012,saan-milo-4: ask before crossing signal memory
38,1140,signal,signal-dialect-4,voro-juno-4,path visibility / lantern-turning,ownership suffix,roofward,181,True,0.016,voro-juno-4: ask before crossing path visibility
38,1140,orchard,orchard-dialect-4,lum-saan-4,dry seed continuity / satchel-vow,ownership suffix,archive,184,True,0.02,lum-saan-4: ask before crossing dry seed continuity
38,1140,repair_ring,repair_ring-dialect-4,ther-voro-4,safe repair space / spark-distance,ownership suffix,signal,187,True,0.024,ther-voro-4: ask before crossing safe repair space
39,1170,riverbend,riverbend-dialect-4,juno-juno-4,dry crossing / plank-listening,route tense,orchard,176,True,0.04,juno-juno-4: ask before crossing dry crossing
39,1170,roofward,roofward-dialect-4,saan-saan-4,herb preservation / sun-ledger,route tense,repair_ring,179,True,0.012,saan-saan-4: ask before crossing herb preservation
39,1170,archive,archive-dialect-4,voro-voro-4,signal memory / spool-naming,route tense,riverbend,182,True,0.016,voro-voro-4: ask before crossing signal memory
39,1170,signal,signal-dialect-4,lum-lum-4,path visibility / lantern-turning,route tense,roofward,185,True,0.02,lum-lum-4: ask before crossing path visibility
39,1170,orchard,orchard-dialect-4,ther-ther-4,dry seed continuity / satchel-vow,route tense,archive,188,True,0.024,ther-ther-4: ask before crossing dry seed continuity
39,1170,repair_ring,repair_ring-dialect-4,nia-nia-4,safe repair space / spark-distance,route tense,signal,191,True,0.028,nia-nia-4: ask before crossing safe repair space
40,1200,riverbend,riverbend-dialect-4,saan-lum-4,dry crossing / plank-listening,agent-object respect marker,orchard,180,True,0.012,saan-lum-4: ask before crossing dry crossing
40,1200,roofward,roofward-dialect-4,voro-ther-4,herb preservation / sun-ledger,agent-object respect marker,repair_ring,183,True,0.016,voro-ther-4: ask before crossing herb preservation
40,1200,archive,archive-dialect-4,lum-nia-4,signal memory / spool-naming,agent-object respect marker,riverbend,186,True,0.02,lum-nia-4: ask before crossing signal memory
40,1200,signal,signal-dialect-4,ther-keth-4,path visibility / lantern-turning,agent-object respect marker,roofward,189,True,0.024,ther-keth-4: ask before crossing path visibility
40,1200,orchard,orchard-dialect-4,nia-ivo-4,dry seed continuity / satchel-vow,agent-object respect marker,archive,192,True,0.028,nia-ivo-4: ask before crossing dry seed continuity
40,1200,repair_ring,repair_ring-dialect-4,keth-pax-4,safe repair space / spark-distance,agent-object respect marker,signal,195,True,0.032,keth-pax-4: ask before crossing safe repair space
41,1230,riverbend,riverbend-dialect-5,voro-keth-5,dry crossing / plank-listening,ownership suffix,repair_ring,184,True,0.016,voro-keth-5: ask before crossing dry crossing
41,1230,roofward,roofward-dialect-5,lum-ivo-5,herb preservation / sun-ledger,ownership suffix,riverbend,187,True,0.02,lum-ivo-5: ask before crossing herb preservation
41,1230,archive,archive-dialect-5,ther-pax-5,signal memory / spool-naming,ownership suffix,roofward,190,True,0.024,ther-pax-5: ask before crossing signal memory
41,1230,signal,signal-dialect-5,nia-ari-5,path visibility / lantern-turning,ownership suffix,archive,193,True,0.028,nia-ari-5: ask before crossing path visibility
41,1230,orchard,orchard-dialect-5,keth-fay-5,dry seed continuity / satchel-vow,ownership suffix,signal,196,True,0.032,keth-fay-5: ask before crossing dry seed continuity
41,1230,repair_ring,repair_ring-dialect-5,ivo-milo-5,safe repair space / spark-distance,ownership suffix,orchard,199,True,0.036,ivo-milo-5: ask before crossing safe repair space
42,1260,riverbend,riverbend-dialect-5,lum-ari-5,dry crossing / plank-listening,route tense,repair_ring,188,True,0.02,lum-ari-5: ask before crossing dry crossing
42,1260,roofward,roofward-dialect-5,ther-fay-5,herb preservation / sun-ledger,route tense,riverbend,191,True,0.024,ther-fay-5: ask before crossing herb preservation
42,1260,archive,archive-dialect-5,nia-milo-5,signal memory / spool-naming,route tense,roofward,194,True,0.028,nia-milo-5: ask before crossing signal memory
42,1260,signal,signal-dialect-5,keth-juno-5,path visibility / lantern-turning,route tense,archive,197,True,0.032,keth-juno-5: ask before crossing path visibility
42,1260,orchard,orchard-dialect-5,ivo-saan-5,dry seed continuity / satchel-vow,route tense,signal,200,True,0.036,ivo-saan-5: ask before crossing dry seed continuity
42,1260,repair_ring,repair_ring-dialect-5,pax-voro-5,safe repair space / spark-distance,route tense,orchard,203,True,0.04,pax-voro-5: ask before crossing safe repair space
43,1290,riverbend,riverbend-dialect-5,ther-juno-5,dry crossing / plank-listening,ownership suffix,repair_ring,192,True,0.024,ther-juno-5: ask before crossing dry crossing
43,1290,roofward,roofward-dialect-5,nia-saan-5,herb preservation / sun-ledger,ownership suffix,riverbend,195,True,0.028,nia-saan-5: ask before crossing herb preservation
43,1290,archive,archive-dialect-5,keth-voro-5,signal memory / spool-naming,ownership suffix,roofward,198,True,0.032,keth-voro-5: ask before crossing signal memory
43,1290,signal,signal-dialect-5,ivo-lum-5,path visibility / lantern-turning,ownership suffix,archive,201,True,0.036,ivo-lum-5: ask before crossing path visibility
43,1290,orchard,orchard-dialect-5,pax-ther-5,dry seed continuity / satchel-vow,ownership suffix,signal,204,True,0.04,pax-ther-5: ask before crossing dry seed continuity
43,1290,repair_ring,repair_ring-dialect-5,ari-nia-5,safe repair space / spark-distance,ownership suffix,orchard,207,True,0.012,ari-nia-5: ask before crossing safe repair space
44,1320,riverbend,riverbend-dialect-5,nia-lum-5,dry crossing / plank-listening,ownership suffix,repair_ring,196,True,0.028,nia-lum-5: ask before crossing dry crossing
44,1320,roofward,roofward-dialect-5,keth-ther-5,herb preservation / sun-ledger,ownership suffix,riverbend,199,True,0.032,keth-ther-5: ask before crossing herb preservation
44,1320,archive,archive-dialect-5,ivo-nia-5,signal memory / spool-naming,ownership suffix,roofward,202,True,0.036,ivo-nia-5: ask before crossing signal memory
44,1320,signal,signal-dialect-5,pax-keth-5,path visibility / lantern-turning,ownership suffix,archive,205,True,0.04,pax-keth-5: ask before crossing path visibility
44,1320,orchard,orchard-dialect-5,ari-ivo-5,dry seed continuity / satchel-vow,ownership suffix,signal,208,True,0.012,ari-ivo-5: ask before crossing dry seed continuity
44,1320,repair_ring,repair_ring-dialect-5,fay-pax-5,safe repair space / spark-distance,ownership suffix,orchard,211,True,0.016,fay-pax-5: ask before crossing safe repair space
45,1350,riverbend,riverbend-dialect-5,keth-keth-5,dry crossing / plank-listening,agent-object respect marker,repair_ring,200,True,0.032,keth-keth-5: ask before crossing dry crossing
45,1350,roofward,roofward-dialect-5,ivo-ivo-5,herb preservation / sun-ledger,agent-object respect marker,riverbend,203,True,0.036,ivo-ivo-5: ask before crossing herb preservation
45,1350,archive,archive-dialect-5,pax-pax-5,signal memory / spool-naming,agent-object respect marker,roofward,206,True,0.04,pax-pax-5: ask before crossing signal memory
45,1350,signal,signal-dialect-5,ari-ari-5,path visibility / lantern-turning,agent-object respect marker,archive,209,True,0.012,ari-ari-5: ask before crossing path visibility
45,1350,orchard,orchard-dialect-5,fay-fay-5,dry seed continuity / satchel-vow,agent-object respect marker,signal,212,True,0.016,fay-fay-5: ask before crossing dry seed continuity
45,1350,repair_ring,repair_ring-dialect-5,milo-milo-5,safe repair space / spark-distance,agent-object respect marker,orchard,215,True,0.02,milo-milo-5: ask before crossing safe repair space
46,1380,riverbend,riverbend-dialect-5,ivo-ari-5,dry crossing / plank-listening,ownership suffix,repair_ring,204,True,0.036,ivo-ari-5: ask before crossing dry crossing
46,1380,roofward,roofward-dialect-5,pax-fay-5,herb preservation / sun-ledger,ownership suffix,riverbend,207,True,0.04,pax-fay-5: ask before crossing herb preservation
46,1380,archive,archive-dialect-5,ari-milo-5,signal memory / spool-naming,ownership suffix,roofward,210,True,0.012,ari-milo-5: ask before crossing signal memory
46,1380,signal,signal-dialect-5,fay-juno-5,path visibility / lantern-turning,ownership suffix,archive,213,True,0.016,fay-juno-5: ask before crossing path visibility
46,1380,orchard,orchard-dialect-5,milo-saan-5,dry seed continuity / satchel-vow,ownership suffix,signal,216,True,0.02,milo-saan-5: ask before crossing dry seed continuity
46,1380,repair_ring,repair_ring-dialect-5,juno-voro-5,safe repair space / spark-distance,ownership suffix,orchard,219,True,0.024,juno-voro-5: ask before crossing safe repair space
47,1410,riverbend,riverbend-dialect-5,pax-juno-5,dry crossing / plank-listening,ownership suffix,repair_ring,208,True,0.04,pax-juno-5: ask before crossing dry crossing
47,1410,roofward,roofward-dialect-5,ari-saan-5,herb preservation / sun-ledger,ownership suffix,riverbend,211,True,0.012,ari-saan-5: ask before crossing herb preservation
47,1410,archive,archive-dialect-5,fay-voro-5,signal memory / spool-naming,ownership suffix,roofward,214,True,0.016,fay-voro-5: ask before crossing signal memory
47,1410,signal,signal-dialect-5,milo-lum-5,path visibility / lantern-turning,ownership suffix,archive,217,True,0.02,milo-lum-5: ask before crossing path visibility
47,1410,orchard,orchard-dialect-5,juno-ther-5,dry seed continuity / satchel-vow,ownership suffix,signal,220,True,0.024,juno-ther-5: ask before crossing dry seed continuity
47,1410,repair_ring,repair_ring-dialect-5,saan-nia-5,safe repair space / spark-distance,ownership suffix,orchard,223,True,0.028,saan-nia-5: ask before crossing safe repair space
48,1440,riverbend,riverbend-dialect-5,ari-lum-5,dry crossing / plank-listening,route tense,repair_ring,212,True,0.012,ari-lum-5: ask before crossing dry crossing
48,1440,roofward,roofward-dialect-5,fay-ther-5,herb preservation / sun-ledger,route tense,riverbend,215,True,0.016,fay-ther-5: ask before crossing herb preservation
48,1440,archive,archive-dialect-5,milo-nia-5,signal memory / spool-naming,route tense,roofward,218,True,0.02,milo-nia-5: ask before crossing signal memory
48,1440,signal,signal-dialect-5,juno-keth-5,path visibility / lantern-turning,route tense,archive,221,True,0.024,juno-keth-5: ask before crossing path visibility
48,1440,orchard,orchard-dialect-5,saan-ivo-5,dry seed continuity / satchel-vow,route tense,signal,224,True,0.028,saan-ivo-5: ask before crossing dry seed continuity
48,1440,repair_ring,repair_ring-dialect-5,voro-pax-5,safe repair space / spark-distance,route tense,orchard,227,True,0.032,voro-pax-5: ask before crossing safe repair space
49,1470,riverbend,riverbend-dialect-5,fay-keth-5,dry crossing / plank-listening,ownership suffix,repair_ring,216,True,0.016,fay-keth-5: ask before crossing dry crossing
49,1470,roofward,roofward-dialect-5,milo-ivo-5,herb preservation / sun-ledger,ownership suffix,riverbend,219,True,0.02,milo-ivo-5: ask before crossing herb preservation
49,1470,archive,archive-dialect-5,juno-pax-5,signal memory / spool-naming,ownership suffix,roofward,222,True,0.024,juno-pax-5: ask before crossing signal memory
49,1470,signal,signal-dialect-5,saan-ari-5,path visibility / lantern-turning,ownership suffix,archive,225,True,0.028,saan-ari-5: ask before crossing path visibility
49,1470,orchard,orchard-dialect-5,voro-fay-5,dry seed continuity / satchel-vow,ownership suffix,signal,228,True,0.032,voro-fay-5: ask before crossing dry seed continuity
49,1470,repair_ring,repair_ring-dialect-5,lum-milo-5,safe repair space / spark-distance,ownership suffix,orchard,231,True,0.036,lum-milo-5: ask before crossing safe repair space
50,1500,riverbend,riverbend-dialect-5,milo-ari-5,dry crossing / plank-listening,agent-object respect marker,repair_ring,220,True,0.02,milo-ari-5: ask before crossing dry crossing
50,1500,roofward,roofward-dialect-5,juno-fay-5,herb preservation / sun-ledger,agent-object respect marker,riverbend,223,True,0.024,juno-fay-5: ask before crossing herb preservation
50,1500,archive,archive-dialect-5,saan-milo-5,signal memory / spool-naming,agent-object respect marker,roofward,226,True,0.028,saan-milo-5: ask before crossing signal memory
50,1500,signal,signal-dialect-5,voro-juno-5,path visibility / lantern-turning,agent-object respect marker,archive,229,True,0.032,voro-juno-5: ask before crossing path visibility
50,1500,orchard,orchard-dialect-5,lum-saan-5,dry seed continuity / satchel-vow,agent-object respect marker,signal,232,True,0.036,lum-saan-5: ask before crossing dry seed continuity
50,1500,repair_ring,repair_ring-dialect-5,ther-voro-5,safe repair space / spark-distance,agent-object respect marker,orchard,235,True,0.04,ther-voro-5: ask before crossing safe repair space
51,1530,riverbend,riverbend-dialect-6,juno-juno-6,dry crossing / plank-listening,route tense,riverbend,224,True,0.024,juno-juno-6: ask before crossing dry crossing
51,1530,roofward,roofward-dialect-6,saan-saan-6,herb preservation / sun-ledger,route tense,roofward,227,True,0.028,saan-saan-6: ask before crossing herb preservation
51,1530,archive,archive-dialect-6,voro-voro-6,signal memory / spool-naming,route tense,archive,230,True,0.032,voro-voro-6: ask before crossing signal memory
51,1530,signal,signal-dialect-6,lum-lum-6,path visibility / lantern-turning,route tense,signal,233,True,0.036,lum-lum-6: ask before crossing path visibility
51,1530,orchard,orchard-dialect-6,ther-ther-6,dry seed continuity / satchel-vow,route tense,orchard,236,True,0.04,ther-ther-6: ask before crossing dry seed continuity
51,1530,repair_ring,repair_ring-dialect-6,nia-nia-6,safe repair space / spark-distance,route tense,repair_ring,239,True,0.012,nia-nia-6: ask before crossing safe repair space
52,1560,riverbend,riverbend-dialect-6,saan-lum-6,dry crossing / plank-listening,ownership suffix,riverbend,228,True,0.028,saan-lum-6: ask before crossing dry crossing
52,1560,roofward,roofward-dialect-6,voro-ther-6,herb preservation / sun-ledger,ownership suffix,roofward,231,True,0.032,voro-ther-6: ask before crossing herb preservation
52,1560,archive,archive-dialect-6,lum-nia-6,signal memory / spool-naming,ownership suffix,archive,234,True,0.036,lum-nia-6: ask before crossing signal memory
52,1560,signal,signal-dialect-6,ther-keth-6,path visibility / lantern-turning,ownership suffix,signal,237,True,0.04,ther-keth-6: ask before crossing path visibility
52,1560,orchard,orchard-dialect-6,nia-ivo-6,dry seed continuity / satchel-vow,ownership suffix,orchard,240,True,0.012,nia-ivo-6: ask before crossing dry seed continuity
52,1560,repair_ring,repair_ring-dialect-6,keth-pax-6,safe repair space / spark-distance,ownership suffix,repair_ring,243,True,0.016,keth-pax-6: ask before crossing safe repair space
53,1590,riverbend,riverbend-dialect-6,voro-keth-6,dry crossing / plank-listening,ownership suffix,riverbend,232,True,0.032,voro-keth-6: ask before crossing dry crossing
53,1590,roofward,roofward-dialect-6,lum-ivo-6,herb preservation / sun-ledger,ownership suffix,roofward,235,True,0.036,lum-ivo-6: ask before crossing herb preservation
53,1590,archive,archive-dialect-6,ther-pax-6,signal memory / spool-naming,ownership suffix,archive,238,True,0.04,ther-pax-6: ask before crossing signal memory
53,1590,signal,signal-dialect-6,nia-ari-6,path visibility / lantern-turning,ownership suffix,signal,241,True,0.012,nia-ari-6: ask before crossing path visibility
53,1590,orchard,orchard-dialect-6,keth-fay-6,dry seed continuity / satchel-vow,ownership suffix,orchard,244,True,0.016,keth-fay-6: ask before crossing dry seed continuity
53,1590,repair_ring,repair_ring-dialect-6,ivo-milo-6,safe repair space / spark-distance,ownership suffix,repair_ring,247,True,0.02,ivo-milo-6: ask before crossing safe repair space
54,1620,riverbend,riverbend-dialect-6,lum-ari-6,dry crossing / plank-listening,route tense,riverbend,236,True,0.036,lum-ari-6: ask before crossing dry crossing
54,1620,roofward,roofward-dialect-6,ther-fay-6,herb preservation / sun-ledger,route tense,roofward,239,True,0.04,ther-fay-6: ask before crossing herb preservation
54,1620,archive,archive-dialect-6,nia-milo-6,signal memory / spool-naming,route tense,archive,242,True,0.012,nia-milo-6: ask before crossing signal memory
54,1620,signal,signal-dialect-6,keth-juno-6,path visibility / lantern-turning,route tense,signal,245,True,0.016,keth-juno-6: ask before crossing path visibility
54,1620,orchard,orchard-dialect-6,ivo-saan-6,dry seed continuity / satchel-vow,route tense,orchard,248,True,0.02,ivo-saan-6: ask before crossing dry seed continuity
54,1620,repair_ring,repair_ring-dialect-6,pax-voro-6,safe repair space / spark-distance,route tense,repair_ring,251,True,0.024,pax-voro-6: ask before crossing safe repair space
55,1650,riverbend,riverbend-dialect-6,ther-juno-6,dry crossing / plank-listening,agent-object respect marker,riverbend,240,True,0.04,ther-juno-6: ask before crossing dry crossing
55,1650,roofward,roofward-dialect-6,nia-saan-6,herb preservation / sun-ledger,agent-object respect marker,roofward,243,True,0.012,nia-saan-6: ask before crossing herb preservation
55,1650,archive,archive-dialect-6,keth-voro-6,signal memory / spool-naming,agent-object respect marker,archive,246,True,0.016,keth-voro-6: ask before crossing signal memory
55,1650,signal,signal-dialect-6,ivo-lum-6,path visibility / lantern-turning,agent-object respect marker,signal,249,True,0.02,ivo-lum-6: ask before crossing path visibility
55,1650,orchard,orchard-dialect-6,pax-ther-6,dry seed continuity / satchel-vow,agent-object respect marker,orchard,252,True,0.024,pax-ther-6: ask before crossing dry seed continuity
55,1650,repair_ring,repair_ring-dialect-6,ari-nia-6,safe repair space / spark-distance,agent-object respect marker,repair_ring,255,True,0.028,ari-nia-6: ask before crossing safe repair space
56,1680,riverbend,riverbend-dialect-6,nia-lum-6,dry crossing / plank-listening,ownership suffix,riverbend,244,True,0.012,nia-lum-6: ask before crossing dry crossing
56,1680,roofward,roofward-dialect-6,keth-ther-6,herb preservation / sun-ledger,ownership suffix,roofward,247,True,0.016,keth-ther-6: ask before crossing herb preservation
56,1680,archive,archive-dialect-6,ivo-nia-6,signal memory / spool-naming,ownership suffix,archive,250,True,0.02,ivo-nia-6: ask before crossing signal memory
56,1680,signal,signal-dialect-6,pax-keth-6,path visibility / lantern-turning,ownership suffix,signal,253,True,0.024,pax-keth-6: ask before crossing path visibility
56,1680,orchard,orchard-dialect-6,ari-ivo-6,dry seed continuity / satchel-vow,ownership suffix,orchard,256,True,0.028,ari-ivo-6: ask before crossing dry seed continuity
56,1680,repair_ring,repair_ring-dialect-6,fay-pax-6,safe repair space / spark-distance,ownership suffix,repair_ring,259,True,0.032,fay-pax-6: ask before crossing safe repair space
57,1710,riverbend,riverbend-dialect-6,keth-keth-6,dry crossing / plank-listening,route tense,riverbend,248,True,0.016,keth-keth-6: ask before crossing dry crossing
57,1710,roofward,roofward-dialect-6,ivo-ivo-6,herb preservation / sun-ledger,route tense,roofward,251,True,0.02,ivo-ivo-6: ask before crossing herb preservation
57,1710,archive,archive-dialect-6,pax-pax-6,signal memory / spool-naming,route tense,archive,254,True,0.024,pax-pax-6: ask before crossing signal memory
57,1710,signal,signal-dialect-6,ari-ari-6,path visibility / lantern-turning,route tense,signal,257,True,0.028,ari-ari-6: ask before crossing path visibility
57,1710,orchard,orchard-dialect-6,fay-fay-6,dry seed continuity / satchel-vow,route tense,orchard,260,True,0.032,fay-fay-6: ask before crossing dry seed continuity
57,1710,repair_ring,repair_ring-dialect-6,milo-milo-6,safe repair space / spark-distance,route tense,repair_ring,263,True,0.036,milo-milo-6: ask before crossing safe repair space
58,1740,riverbend,riverbend-dialect-6,ivo-ari-6,dry crossing / plank-listening,ownership suffix,riverbend,252,True,0.02,ivo-ari-6: ask before crossing dry crossing
58,1740,roofward,roofward-dialect-6,pax-fay-6,herb preservation / sun-ledger,ownership suffix,roofward,255,True,0.024,pax-fay-6: ask before crossing herb preservation
58,1740,archive,archive-dialect-6,ari-milo-6,signal memory / spool-naming,ownership suffix,archive,258,True,0.028,ari-milo-6: ask before crossing signal memory
58,1740,signal,signal-dialect-6,fay-juno-6,path visibility / lantern-turning,ownership suffix,signal,261,True,0.032,fay-juno-6: ask before crossing path visibility
58,1740,orchard,orchard-dialect-6,milo-saan-6,dry seed continuity / satchel-vow,ownership suffix,orchard,264,True,0.036,milo-saan-6: ask before crossing dry seed continuity
58,1740,repair_ring,repair_ring-dialect-6,juno-voro-6,safe repair space / spark-distance,ownership suffix,repair_ring,267,True,0.04,juno-voro-6: ask before crossing safe repair space
59,1770,riverbend,riverbend-dialect-6,pax-juno-6,dry crossing / plank-listening,ownership suffix,riverbend,256,True,0.024,pax-juno-6: ask before crossing dry crossing
59,1770,roofward,roofward-dialect-6,ari-saan-6,herb preservation / sun-ledger,ownership suffix,roofward,259,True,0.028,ari-saan-6: ask before crossing herb preservation
59,1770,archive,archive-dialect-6,fay-voro-6,signal memory / spool-naming,ownership suffix,archive,262,True,0.032,fay-voro-6: ask before crossing signal memory
59,1770,signal,signal-dialect-6,milo-lum-6,path visibility / lantern-turning,ownership suffix,signal,265,True,0.036,milo-lum-6: ask before crossing path visibility
59,1770,orchard,orchard-dialect-6,juno-ther-6,dry seed continuity / satchel-vow,ownership suffix,orchard,268,True,0.04,juno-ther-6: ask before crossing dry seed continuity
59,1770,repair_ring,repair_ring-dialect-6,saan-nia-6,safe repair space / spark-distance,ownership suffix,repair_ring,271,True,0.012,saan-nia-6: ask before crossing safe repair space
