tick,day,loop_id,agent,original_term,revised_term,concession_added,boundary_preserved,concession_not_erasure,revision_specificity
0,1,v18-loop-001,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,0,0,0.8
218,19,v18-loop-037,Nari,sealed notes stay sealed,sealed notes stay sealed; add shorter turn; witness listening shell before access,shorter turn,1,1,0.82
219,19,v18-loop-037,Ori,repair work needs warning,repair work needs warning; add shorter turn; witness ember bowl before access,shorter turn,1,1,0.86
220,19,v18-loop-037,Vonn,quiet recovery needs distance,quiet recovery needs distance; add public witness; witness path cord before access,public witness,1,1,0.82
221,19,v18-loop-037,Sova,no crowding while resting,no crowding while resting; add quiet interval; witness tally beads before access,quiet interval,1,1,0.86
222,19,v18-loop-038,Keth,do not erase route warnings,do not erase route warnings; add return marker; witness ink ledger before access,return marker,1,1,0.9
223,19,v18-loop-038,Melo,fair turns before tool access,fair turns before tool access; add shared schedule knot; witness sap hook before access,shared schedule knot,1,1,1.0
224,19,v18-loop-038,Nari,sealed notes stay sealed,sealed notes stay sealed; add shorter turn; witness listening shell before access,shorter turn,1,1,0.78
225,19,v18-loop-038,Ori,repair work needs warning,repair work needs warning; add shorter turn; witness ember bowl before access,shorter turn,1,0,0.94
226,19,v18-loop-038,Vonn,quiet recovery needs distance,quiet recovery needs distance; add public witness; witness path cord before access,public witness,1,1,0.9
227,19,v18-loop-038,Sova,no crowding while resting,no crowding while resting; add quiet interval; witness tally beads before access,quiet interval,1,1,0.94
228,20,v18-loop-039,Melo,fair turns before tool access,fair turns before tool access; add return marker; witness sap hook before access,return marker,1,1,0.86
229,20,v18-loop-039,Nari,sealed notes stay sealed,sealed notes stay sealed; add shared schedule knot; witness listening shell before access,shared schedule knot,1,1,0.9
230,20,v18-loop-039,Ori,repair work needs warning,repair work needs warning; add shared schedule knot; witness ember bowl before access,shared schedule knot,1,1,0.82
231,20,v18-loop-039,Vonn,quiet recovery needs distance,quiet recovery needs distance; add later help; witness path cord before access,later help,1,1,0.98
232,20,v18-loop-039,Sova,no crowding while resting,no crowding while resting; add public witness; witness tally beads before access,public witness,1,1,0.9
233,20,v18-loop-039,Keth,do not erase route warnings,do not erase route warnings; add quiet interval; witness ink ledger before access,quiet interval,1,1,0.86
234,20,v18-loop-040,Melo,fair turns before tool access,fair turns before tool access; add return marker; witness sap hook before access,return marker,1,1,1.0
235,20,v18-loop-040,Nari,sealed notes stay sealed,sealed notes stay sealed; add shared schedule knot; witness listening shell before access,shared schedule knot,1,1,0.94
236,20,v18-loop-040,Ori,repair work needs warning,repair work needs warning; add shared schedule knot; witness ember bowl before access,shared schedule knot,1,1,0.82
237,20,v18-loop-040,Vonn,quiet recovery needs distance,quiet recovery needs distance; add later help; witness path cord before access,later help,1,1,0.86
238,20,v18-loop-040,Sova,no crowding while resting,no crowding while resting; add public witness; witness tally beads before access,public witness,1,1,1.0
239,20,v18-loop-040,Keth,do not erase route warnings,do not erase route warnings; add quiet interval; witness ink ledger before access,quiet interval,1,1,1.0
240,21,v18-loop-041,Nari,sealed notes stay sealed,sealed notes stay sealed; add return marker; witness listening shell before access,return marker,1,1,0.82
241,21,v18-loop-041,Ori,repair work needs warning,repair work needs warning; add return marker; witness ember bowl before access,return marker,1,1,0.74
242,21,v18-loop-041,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shorter turn; witness path cord before access,shorter turn,1,0,0.82
243,21,v18-loop-041,Sova,no crowding while resting,no crowding while resting; add later help; witness tally beads before access,later help,1,1,0.86
244,21,v18-loop-041,Keth,do not erase route warnings,do not erase route warnings; add public witness; witness ink ledger before access,public witness,1,1,0.82
245,21,v18-loop-041,Melo,fair turns before tool access,fair turns before tool access; add quiet interval; witness sap hook before access,quiet interval,1,1,0.98
246,21,v18-loop-042,Nari,sealed notes stay sealed,sealed notes stay sealed; add return marker; witness listening shell before access,return marker,1,1,0.98
247,21,v18-loop-042,Ori,repair work needs warning,repair work needs warning; add return marker; witness ember bowl before access,return marker,1,1,1.0
248,21,v18-loop-042,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shorter turn; witness path cord before access,shorter turn,0,0,0.8
249,21,v18-loop-042,Sova,no crowding while resting,no crowding while resting; add later help; witness tally beads before access,later help,1,1,0.98
250,21,v18-loop-042,Keth,do not erase route warnings,do not erase route warnings; add public witness; witness ink ledger before access,public witness,1,1,1.0
251,21,v18-loop-042,Melo,fair turns before tool access,fair turns before tool access; add quiet interval; witness sap hook before access,quiet interval,1,1,0.94
252,22,v18-loop-043,Ori,repair work needs warning,repair work needs warning; add quiet interval; witness ember bowl before access,quiet interval,1,1,0.86
253,22,v18-loop-043,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shared schedule knot; witness path cord before access,shared schedule knot,1,1,0.9
254,22,v18-loop-043,Sova,no crowding while resting,no crowding while resting; add shorter turn; witness tally beads before access,shorter turn,1,1,0.82
255,22,v18-loop-043,Keth,do not erase route warnings,do not erase route warnings; add later help; witness ink ledger before access,later help,1,1,0.86
256,22,v18-loop-043,Melo,fair turns before tool access,fair turns before tool access; add public witness; witness sap hook before access,public witness,1,1,0.94
257,22,v18-loop-043,Nari,sealed notes stay sealed,sealed notes stay sealed; add quiet interval; witness listening shell before access,quiet interval,1,1,0.98
258,22,v18-loop-044,Ori,repair work needs warning,repair work needs warning; add quiet interval; witness ember bowl before access,quiet interval,1,1,0.86
259,22,v18-loop-044,Vonn,quiet recovery needs distance,quiet recovery needs distance; add shared schedule knot; witness path cord before access,shared schedule knot,1,0,1.0
260,22,v18-loop-044,Sova,no crowding while resting,no crowding while resting; add shorter turn; witness tally beads before access,shorter turn,1,1,0.82
261,22,v18-loop-044,Keth,do not erase route warnings,do not erase route warnings; add later help; witness ink ledger before access,later help,1,1,0.86
262,22,v18-loop-044,Melo,fair turns before tool access,fair turns before tool access; add public witness; witness sap hook before access,public witness,1,1,0.9
263,22,v18-loop-044,Nari,sealed notes stay sealed,sealed notes stay sealed; add quiet interval; witness listening shell before access,quiet interval,1,1,1.0
264,23,v18-loop-045,Vonn,quiet recovery needs distance,quiet recovery needs distance; add return marker; witness path cord before access,return marker,1,1,0.82
265,23,v18-loop-045,Sova,no crowding while resting,no crowding while resting; add shared schedule knot; witness tally beads before access,shared schedule knot,1,1,0.78
266,23,v18-loop-045,Keth,do not erase route warnings,do not erase route warnings; add shorter turn; witness ink ledger before access,shorter turn,1,1,0.94
267,23,v18-loop-045,Melo,fair turns before tool access,fair turns before tool access; add later help; witness sap hook before access,later help,1,1,0.98
268,23,v18-loop-045,Nari,sealed notes stay sealed,sealed notes stay sealed; add public witness; witness listening shell before access,public witness,1,1,0.82
269,23,v18-loop-045,Ori,repair work needs warning,repair work needs warning; add public witness; witness ember bowl before access,public witness,1,1,0.98
270,23,v18-loop-046,Vonn,quiet recovery needs distance,quiet recovery needs distance; add return marker; witness path cord before access,return marker,1,1,0.9
271,23,v18-loop-046,Sova,no crowding while resting,no crowding while resting; add shared schedule knot; witness tally beads before access,shared schedule knot,1,1,0.94
272,23,v18-loop-046,Keth,do not erase route warnings,do not erase route warnings; add shorter turn; witness ink ledger before access,shorter turn,1,1,0.82
273,23,v18-loop-046,Melo,fair turns before tool access,fair turns before tool access; add later help; witness sap hook before access,later help,1,1,0.98
274,23,v18-loop-046,Nari,sealed notes stay sealed,sealed notes stay sealed; add public witness; witness listening shell before access,public witness,1,1,1.0
275,23,v18-loop-046,Ori,repair work needs warning,repair work needs warning; add public witness; witness ember bowl before access,public witness,1,1,0.9
276,24,v18-loop-047,Sova,no crowding while resting,no crowding while resting; add return marker; witness tally beads before access,return marker,1,0,0.74
277,24,v18-loop-047,Keth,do not erase route warnings,do not erase route warnings; add shared schedule knot; witness ink ledger before access,shared schedule knot,1,1,0.9
278,24,v18-loop-047,Melo,fair turns before tool access,fair turns before tool access; add shorter turn; witness sap hook before access,shorter turn,1,1,0.82
279,24,v18-loop-047,Nari,sealed notes stay sealed,sealed notes stay sealed; add later help; witness listening shell before access,later help,0,0,0.96
280,24,v18-loop-047,Ori,repair work needs warning,repair work needs warning; add later help; witness ember bowl before access,later help,1,1,0.94
281,24,v18-loop-047,Vonn,quiet recovery needs distance,quiet recovery needs distance; add quiet interval; witness path cord before access,quiet interval,1,1,0.98
282,24,v18-loop-048,Sova,no crowding while resting,no crowding while resting; add return marker; witness tally beads before access,return marker,1,1,0.9
283,24,v18-loop-048,Keth,do not erase route warnings,do not erase route warnings; add shared schedule knot; witness ink ledger before access,shared schedule knot,1,1,0.94
284,24,v18-loop-048,Melo,fair turns before tool access,fair turns before tool access; add shorter turn; witness sap hook before access,shorter turn,1,1,0.82
285,24,v18-loop-048,Nari,sealed notes stay sealed,sealed notes stay sealed; add later help; witness listening shell before access,later help,1,1,0.86
286,24,v18-loop-048,Ori,repair work needs warning,repair work needs warning; add later help; witness ember bowl before access,later help,1,1,0.9
287,24,v18-loop-048,Vonn,quiet recovery needs distance,quiet recovery needs distance; add quiet interval; witness path cord before access,quiet interval,1,1,1.0
