tick,day,lineage,agent,public_state,avatar_state,sleep_panel,rehearsal_panel,reentry_panel,welfare_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
58,10,Ledgerline,Nari,day 10: Nari recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Nari wakes recovered; interruptions=0; avatar=absent_saved.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.22; flower=358.9,False,ssrm251_browser_world_v11_sleep_reentry,a6d24b5f2eda9e18e4
59,10,Orchardline,Ori,day 10: Ori recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Ori wakes recovered; interruptions=0; avatar=absent_saved.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.22; flower=9.5,False,ssrm251_browser_world_v11_sleep_reentry,ad12d4843b78fe2583
60,10,Rainline,Vonn,day 10: Vonn recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Vonn wakes recovered; interruptions=0; avatar=absent_saved.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.22; flower=0.8,False,ssrm251_browser_world_v11_sleep_reentry,4528df938150830470
61,11,Hearthline,Sova,day 11: Sova recovered; avatar=reentry; weather=market dry,avatar re-enters through public summary,Sova wakes recovered; interruptions=1; avatar=reentry.,"Sova rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Sova sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=144.2,False,ssrm251_browser_world_v11_sleep_reentry,cff4acde131719b58c
62,11,Routeline,Keth,day 11: Keth recovered; avatar=reentry; weather=market dry,avatar re-enters through public summary,Keth wakes recovered; interruptions=0; avatar=reentry.,"Keth rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Keth sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=139.9,False,ssrm251_browser_world_v11_sleep_reentry,f1a1b7732d6d231f66
63,11,Marketline,Melo,day 11: Melo recovered; avatar=reentry; weather=market dry,avatar re-enters through public summary,Melo wakes recovered; interruptions=0; avatar=reentry.,"Melo rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Melo sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=149.2,False,ssrm251_browser_world_v11_sleep_reentry,6f3e580510f23f4a2b
64,11,Ledgerline,Nari,day 11: Nari recovered; avatar=reentry; weather=market dry,avatar re-enters through public summary,Nari wakes recovered; interruptions=1; avatar=reentry.,"Nari rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Nari sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=136.4,False,ssrm251_browser_world_v11_sleep_reentry,03a635d44a9957b1be
65,11,Orchardline,Ori,day 11: Ori recovered; avatar=reentry; weather=market dry,avatar re-enters through public summary,Ori wakes recovered; interruptions=0; avatar=reentry.,"Ori rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Ori sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=147.0,False,ssrm251_browser_world_v11_sleep_reentry,7856593dc5d3948e0b
66,11,Rainline,Vonn,day 11: Vonn recovered; avatar=reentry; weather=market dry,avatar re-enters through public summary,Vonn wakes recovered; interruptions=0; avatar=reentry.,"Vonn rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Vonn sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=138.3,False,ssrm251_browser_world_v11_sleep_reentry,b6aeddb60deb6f33e0
67,12,Hearthline,Sova,day 12: Sova recovered; avatar=idle_nearby; weather=rain pulse,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=0; avatar=idle_nearby.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=281.7,False,ssrm251_browser_world_v11_sleep_reentry,6cc5157b5acb027fd4
68,12,Routeline,Keth,day 12: Keth recovered; avatar=idle_nearby; weather=rain pulse,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=0; avatar=idle_nearby.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=277.4,False,ssrm251_browser_world_v11_sleep_reentry,99f1f83af2027826a8
69,12,Marketline,Melo,day 12: Melo recovered; avatar=idle_nearby; weather=rain pulse,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=0; avatar=idle_nearby.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=286.7,False,ssrm251_browser_world_v11_sleep_reentry,d32af2c84452c87552
70,12,Ledgerline,Nari,day 12: Nari recovered; avatar=idle_nearby; weather=rain pulse,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=0; avatar=idle_nearby.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=274.0,False,ssrm251_browser_world_v11_sleep_reentry,1bbe59ebc47a5b3692
71,12,Orchardline,Ori,day 12: Ori recovered; avatar=idle_nearby; weather=rain pulse,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=0; avatar=idle_nearby.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=284.5,False,ssrm251_browser_world_v11_sleep_reentry,ccca6a6ab760b11905
72,12,Rainline,Vonn,day 12: Vonn recovered; avatar=idle_nearby; weather=rain pulse,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=0; avatar=idle_nearby.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=275.8,False,ssrm251_browser_world_v11_sleep_reentry,7a5a7803c777d852c0
73,13,Hearthline,Sova,day 13: Sova recovered; avatar=present_passive; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=0; avatar=present_passive.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=59.2,False,ssrm251_browser_world_v11_sleep_reentry,0653adbc59637210a6
74,13,Routeline,Keth,day 13: Keth recovered; avatar=present_passive; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=0; avatar=present_passive.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=54.9,False,ssrm251_browser_world_v11_sleep_reentry,cb4084b89b3958a67a
75,13,Marketline,Melo,day 13: Melo recovered; avatar=present_passive; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=0; avatar=present_passive.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=64.2,False,ssrm251_browser_world_v11_sleep_reentry,edbe107232231d8de1
76,13,Ledgerline,Nari,day 13: Nari recovered; avatar=present_passive; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=0; avatar=present_passive.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=51.5,False,ssrm251_browser_world_v11_sleep_reentry,7f6e7d193c378791a8
77,13,Orchardline,Ori,day 13: Ori recovered; avatar=present_passive; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=0; avatar=present_passive.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=62.0,False,ssrm251_browser_world_v11_sleep_reentry,85cbf89c126d5500b2
78,13,Rainline,Vonn,day 13: Vonn recovered; avatar=present_passive; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=0; avatar=present_passive.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=53.3,False,ssrm251_browser_world_v11_sleep_reentry,28e97e29b5d7c5c3e5
79,14,Hearthline,Sova,day 14: Sova recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=1; avatar=present_passive.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=196.7,False,ssrm251_browser_world_v11_sleep_reentry,b2007f2d57ba792c0a
80,14,Routeline,Keth,day 14: Keth recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=1; avatar=present_passive.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=192.4,False,ssrm251_browser_world_v11_sleep_reentry,48eefdba08ca856fcb
81,14,Marketline,Melo,day 14: Melo recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=1; avatar=present_passive.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=201.7,False,ssrm251_browser_world_v11_sleep_reentry,d15ab24880bb8971c7
82,14,Ledgerline,Nari,day 14: Nari recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=1; avatar=present_passive.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=189.0,False,ssrm251_browser_world_v11_sleep_reentry,f604c37396636e1009
83,14,Orchardline,Ori,day 14: Ori recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=1; avatar=present_passive.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=199.5,False,ssrm251_browser_world_v11_sleep_reentry,857ad9dbf831ebd608
84,14,Rainline,Vonn,day 14: Vonn recovered; avatar=present_passive; weather=storm edge,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=1; avatar=present_passive.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=190.8,False,ssrm251_browser_world_v11_sleep_reentry,55a319e083331667e7
85,15,Hearthline,Sova,day 15: Sova recovered; avatar=idle_nearby; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=0; avatar=idle_nearby.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=334.2,False,ssrm251_browser_world_v11_sleep_reentry,3b6d0822477e3bbdec
86,15,Routeline,Keth,day 15: Keth recovered; avatar=idle_nearby; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Keth wakes recovered; interruptions=0; avatar=idle_nearby.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=329.9,False,ssrm251_browser_world_v11_sleep_reentry,d40bd68b3c82d737f8
87,15,Marketline,Melo,day 15: Melo recovered; avatar=idle_nearby; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Melo wakes recovered; interruptions=0; avatar=idle_nearby.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=339.2,False,ssrm251_browser_world_v11_sleep_reentry,3063d05e98ac13d088
88,15,Ledgerline,Nari,day 15: Nari recovered; avatar=idle_nearby; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Nari wakes recovered; interruptions=0; avatar=idle_nearby.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=326.5,False,ssrm251_browser_world_v11_sleep_reentry,31c71a583b31277f3c
89,15,Orchardline,Ori,day 15: Ori recovered; avatar=idle_nearby; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Ori wakes recovered; interruptions=0; avatar=idle_nearby.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=337.0,False,ssrm251_browser_world_v11_sleep_reentry,a051e31b4f70d0170a
90,15,Rainline,Vonn,day 15: Vonn recovered; avatar=idle_nearby; weather=clear cold,avatar present/passive; sleep routines remain agent-led,Vonn wakes recovered; interruptions=0; avatar=idle_nearby.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=idle_nearby.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=328.3,False,ssrm251_browser_world_v11_sleep_reentry,6ab0fb449b4b3487bd
91,16,Hearthline,Sova,day 16: Sova recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Sova wakes recovered; interruptions=1; avatar=absent_saved.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.19; flower=111.7,False,ssrm251_browser_world_v11_sleep_reentry,e2ada92fa7f93c7c3a
92,16,Routeline,Keth,day 16: Keth recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Keth wakes recovered; interruptions=1; avatar=absent_saved.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.19; flower=107.4,False,ssrm251_browser_world_v11_sleep_reentry,aa3747270e74cce3cc
93,16,Marketline,Melo,day 16: Melo recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Melo wakes recovered; interruptions=1; avatar=absent_saved.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.19; flower=116.7,False,ssrm251_browser_world_v11_sleep_reentry,26f3f4e90180a49030
94,16,Ledgerline,Nari,day 16: Nari recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Nari wakes recovered; interruptions=1; avatar=absent_saved.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.19; flower=104.0,False,ssrm251_browser_world_v11_sleep_reentry,d298efb5d1c8705c32
95,16,Orchardline,Ori,day 16: Ori recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Ori wakes recovered; interruptions=1; avatar=absent_saved.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.19; flower=114.5,False,ssrm251_browser_world_v11_sleep_reentry,ec00ee503e4d1083d6
96,16,Rainline,Vonn,day 16: Vonn recovered; avatar=absent_saved; weather=wet wind,avatar absent; society sleep/wake continues,Vonn wakes recovered; interruptions=1; avatar=absent_saved.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.19; flower=105.8,False,ssrm251_browser_world_v11_sleep_reentry,3508bb464d78a5b3ed
97,17,Hearthline,Sova,day 17: Sova recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Sova wakes recovered; interruptions=0; avatar=absent_saved.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.22; flower=249.2,False,ssrm251_browser_world_v11_sleep_reentry,592e2e0cdbaddf5a8d
98,17,Routeline,Keth,day 17: Keth recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Keth wakes recovered; interruptions=0; avatar=absent_saved.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.22; flower=244.9,False,ssrm251_browser_world_v11_sleep_reentry,36a69ed58ffac9d111
99,17,Marketline,Melo,day 17: Melo recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Melo wakes recovered; interruptions=0; avatar=absent_saved.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.22; flower=254.2,False,ssrm251_browser_world_v11_sleep_reentry,162ebf9d5d1d8ca1ed
100,17,Ledgerline,Nari,day 17: Nari recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Nari wakes recovered; interruptions=0; avatar=absent_saved.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.22; flower=241.5,False,ssrm251_browser_world_v11_sleep_reentry,93abdcc6d314df1829
101,17,Orchardline,Ori,day 17: Ori recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Ori wakes recovered; interruptions=0; avatar=absent_saved.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.22; flower=252.0,False,ssrm251_browser_world_v11_sleep_reentry,e7ae7fd445162d1ed8
102,17,Rainline,Vonn,day 17: Vonn recovered; avatar=absent_saved; weather=hearth fog,avatar absent; society sleep/wake continues,Vonn wakes recovered; interruptions=0; avatar=absent_saved.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.22; flower=243.4,False,ssrm251_browser_world_v11_sleep_reentry,ac2c21dbdf70c563a4
103,18,Hearthline,Sova,day 18: Sova recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Sova wakes recovered; interruptions=0; avatar=absent_saved.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.25; flower=26.7,False,ssrm251_browser_world_v11_sleep_reentry,451d6c7304479697fd
104,18,Routeline,Keth,day 18: Keth recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Keth wakes recovered; interruptions=0; avatar=absent_saved.,"Keth rehearsed a public plan, not private workspace content.",no avatar re-entry today,Keth sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.25; flower=22.4,False,ssrm251_browser_world_v11_sleep_reentry,2ffcbbf3b6a3beb5f9
105,18,Marketline,Melo,day 18: Melo recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Melo wakes recovered; interruptions=0; avatar=absent_saved.,"Melo rehearsed a public plan, not private workspace content.",no avatar re-entry today,Melo sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.25; flower=31.7,False,ssrm251_browser_world_v11_sleep_reentry,736da7440a8d2b2e3e
106,18,Ledgerline,Nari,day 18: Nari recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Nari wakes recovered; interruptions=0; avatar=absent_saved.,"Nari rehearsed a public plan, not private workspace content.",no avatar re-entry today,Nari sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.25; flower=19.0,False,ssrm251_browser_world_v11_sleep_reentry,0e148f54969aea6135
107,18,Orchardline,Ori,day 18: Ori recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Ori wakes recovered; interruptions=0; avatar=absent_saved.,"Ori rehearsed a public plan, not private workspace content.",no avatar re-entry today,Ori sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.25; flower=29.5,False,ssrm251_browser_world_v11_sleep_reentry,3d83bd1551dc8f57f1
108,18,Rainline,Vonn,day 18: Vonn recovered; avatar=absent_saved; weather=market dry,avatar absent; society sleep/wake continues,Vonn wakes recovered; interruptions=0; avatar=absent_saved.,"Vonn rehearsed a public plan, not private workspace content.",no avatar re-entry today,Vonn sleep/wake welfare score 0.83; avatar mode=absent_saved.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.25; flower=20.9,False,ssrm251_browser_world_v11_sleep_reentry,e5f6aec6cf0780f3e4
109,19,Hearthline,Sova,day 19: Sova recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Sova wakes recovered; interruptions=1; avatar=reentry.,"Sova rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Sova sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=164.3,False,ssrm251_browser_world_v11_sleep_reentry,fe5be1136eae1e8b43
110,19,Routeline,Keth,day 19: Keth recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Keth wakes recovered; interruptions=0; avatar=reentry.,"Keth rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Keth sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.17Hz; smell=Gate Ring night air; temp=0.60; wet=0.16; flower=159.9,False,ssrm251_browser_world_v11_sleep_reentry,e2008c9fd9c5a41d11
111,19,Marketline,Melo,day 19: Melo recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Melo wakes recovered; interruptions=0; avatar=reentry.,"Melo rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Melo sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.47Hz; smell=Market Measure night air; temp=0.59; wet=0.16; flower=169.2,False,ssrm251_browser_world_v11_sleep_reentry,abaa19cd9dbfce0002
112,19,Ledgerline,Nari,day 19: Nari recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Nari wakes recovered; interruptions=1; avatar=reentry.,"Nari rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Nari sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.06Hz; smell=Hearth Archive night air; temp=0.60; wet=0.16; flower=156.5,False,ssrm251_browser_world_v11_sleep_reentry,a89145af3c13059015
113,19,Orchardline,Ori,day 19: Ori recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Ori wakes recovered; interruptions=0; avatar=reentry.,"Ori rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Ori sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.40Hz; smell=Ceremony Center night air; temp=0.60; wet=0.16; flower=167.0,False,ssrm251_browser_world_v11_sleep_reentry,90c3015b9a056ea213
114,19,Rainline,Vonn,day 19: Vonn recovered; avatar=reentry; weather=rain pulse,avatar re-enters through public summary,Vonn wakes recovered; interruptions=0; avatar=reentry.,"Vonn rehearsed a public plan, not private workspace content.",accepts public summary and reopens routine,Vonn sleep/wake welfare score 0.83; avatar mode=reentry.,sound=sleep bell 2.12Hz; smell=Rainwalk Threshold night air; temp=0.60; wet=0.16; flower=158.4,False,ssrm251_browser_world_v11_sleep_reentry,6f13469050379780ba
115,20,Hearthline,Sova,day 20: Sova recovered; avatar=present_passive; weather=orchard mild,avatar present/passive; sleep routines remain agent-led,Sova wakes recovered; interruptions=0; avatar=present_passive.,"Sova rehearsed a public plan, not private workspace content.",no avatar re-entry today,Sova sleep/wake welfare score 0.83; avatar mode=present_passive.,sound=sleep bell 2.31Hz; smell=Hearth Archive night air; temp=0.61; wet=0.16; flower=301.8,False,ssrm251_browser_world_v11_sleep_reentry,1718d42deffa65131e
