tick,day,scene_id,agent,distance_to_avatar,collision_detected,collision_blocked,proximity_prompt_visible,prompt_kind,prompt_text,prompt_accuracy
252,17,v21-scene-d17,Vonn,4.456232,0,0,0,observe,Vonn: keep quiet distance visible before listening shell.,0.62
253,17,v21-scene-d17,Sova,3.197812,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
254,17,v21-scene-d17,Keth,1.56205,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
255,18,v21-scene-d18,Nari,4.579083,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
256,18,v21-scene-d18,Ori,4.138067,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
257,18,v21-scene-d18,Vonn,4.221327,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
258,18,v21-scene-d18,Sova,3.197812,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
259,18,v21-scene-d18,Keth,1.56205,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
260,18,v21-scene-d18,Melo,3.5,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,0.953333
261,18,v21-scene-d18,Nari,4.408356,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
262,18,v21-scene-d18,Ori,3.902871,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
263,18,v21-scene-d18,Vonn,4.091992,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
264,18,v21-scene-d18,Sova,2.852438,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
265,18,v21-scene-d18,Keth,1.098362,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
266,18,v21-scene-d18,Melo,2.963849,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
267,18,v21-scene-d18,Nari,4.030682,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
268,18,v21-scene-d18,Ori,3.434472,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
269,18,v21-scene-d18,Vonn,3.865178,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
270,19,v21-scene-d19,Keth,0.863481,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
271,19,v21-scene-d19,Melo,2.5,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
272,19,v21-scene-d19,Nari,3.676955,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
273,19,v21-scene-d19,Ori,3.282743,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
274,19,v21-scene-d19,Vonn,3.256317,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
275,19,v21-scene-d19,Sova,2.184765,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
276,19,v21-scene-d19,Keth,0.967471,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
277,19,v21-scene-d19,Melo,2.6732,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
278,19,v21-scene-d19,Nari,3.667151,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
279,19,v21-scene-d19,Ori,3.282743,1,1,1,repair,Ori: keep repair warning visible before sap hook.,1.0
280,19,v21-scene-d19,Vonn,3.366482,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
281,19,v21-scene-d19,Sova,2.184765,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
282,19,v21-scene-d19,Keth,0.967471,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
283,19,v21-scene-d19,Melo,2.436473,0,0,0,ceremony,Melo: keep fair turn visible before tally beads.,0.666667
284,19,v21-scene-d19,Nari,3.484595,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
285,20,v21-scene-d20,Vonn,3.511182,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
286,20,v21-scene-d20,Sova,2.707397,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
287,20,v21-scene-d20,Keth,0.411825,1,1,1,boundary,Keth: keep warning path visible before path cord.,1.0
288,20,v21-scene-d20,Melo,2.731227,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
289,20,v21-scene-d20,Nari,3.676955,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
290,20,v21-scene-d20,Ori,3.14331,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
291,20,v21-scene-d20,Vonn,4.294601,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
292,20,v21-scene-d20,Sova,3.545645,0,0,1,talk,Sova: keep rest space visible before ember bowl.,0.953333
293,20,v21-scene-d20,Keth,0.877268,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
294,20,v21-scene-d20,Melo,2.710646,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
295,20,v21-scene-d20,Nari,4.24867,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
296,20,v21-scene-d20,Ori,3.109276,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
297,20,v21-scene-d20,Vonn,4.560219,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
298,20,v21-scene-d20,Sova,3.540226,0,0,1,talk,Sova: keep rest space visible before ember bowl.,0.953333
299,20,v21-scene-d20,Keth,0.509117,1,0,1,boundary,Keth: keep warning path visible before path cord.,0.926667
300,21,v21-scene-d21,Nari,3.944008,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
301,21,v21-scene-d21,Ori,2.870052,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
302,21,v21-scene-d21,Vonn,4.222464,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
303,21,v21-scene-d21,Sova,3.260245,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
304,21,v21-scene-d21,Keth,0.509117,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
305,21,v21-scene-d21,Melo,2.50064,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
306,21,v21-scene-d21,Nari,3.723439,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
307,21,v21-scene-d21,Ori,2.906888,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
308,21,v21-scene-d21,Vonn,3.687221,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
309,21,v21-scene-d21,Sova,2.71448,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
310,21,v21-scene-d21,Keth,0.494773,1,1,1,boundary,Keth: keep warning path visible before path cord.,1.0
311,21,v21-scene-d21,Melo,1.965401,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
312,21,v21-scene-d21,Nari,3.142738,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
313,21,v21-scene-d21,Ori,2.833867,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
314,21,v21-scene-d21,Vonn,3.348851,0,0,0,observe,Vonn: keep quiet distance visible before listening shell.,0.666667
315,22,v21-scene-d22,Keth,0.494773,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
316,22,v21-scene-d22,Melo,1.925097,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
317,22,v21-scene-d22,Nari,3.142738,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
318,22,v21-scene-d22,Ori,2.833867,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
319,22,v21-scene-d22,Vonn,3.422572,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
320,22,v21-scene-d22,Sova,2.700296,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
321,22,v21-scene-d22,Keth,0.632456,1,1,1,boundary,Keth: keep warning path visible before path cord.,1.0
322,22,v21-scene-d22,Melo,2.043624,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
323,22,v21-scene-d22,Nari,3.354758,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
324,22,v21-scene-d22,Ori,2.739416,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
325,22,v21-scene-d22,Vonn,3.348851,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
326,22,v21-scene-d22,Sova,2.420331,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
327,22,v21-scene-d22,Keth,0.6,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
328,22,v21-scene-d22,Melo,2.200454,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
329,22,v21-scene-d22,Nari,3.119487,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,1.0
330,23,v21-scene-d23,Vonn,3.16057,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
331,23,v21-scene-d23,Sova,2.149325,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
332,23,v21-scene-d23,Keth,0.968297,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
333,23,v21-scene-d23,Melo,2.436473,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
334,23,v21-scene-d23,Nari,3.484595,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
335,23,v21-scene-d23,Ori,3.282743,0,0,1,repair,Ori: keep repair warning visible before sap hook.,1.0
336,23,v21-scene-d23,Vonn,3.511182,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
337,23,v21-scene-d23,Sova,2.459675,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
338,23,v21-scene-d23,Keth,0.967471,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
339,23,v21-scene-d23,Melo,2.731227,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
340,23,v21-scene-d23,Nari,4.030682,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
341,23,v21-scene-d23,Ori,3.902871,1,1,1,collision,Step blocked: personal space or object path in use.,1.0
342,23,v21-scene-d23,Vonn,3.972959,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
343,23,v21-scene-d23,Sova,2.735617,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
344,23,v21-scene-d23,Keth,1.098362,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
345,24,v21-scene-d24,Nari,4.030682,0,0,0,yield,Nari: keep sealed note visible before ink ledger.,0.62
346,24,v21-scene-d24,Ori,3.668297,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
347,24,v21-scene-d24,Vonn,3.972959,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,0.953333
348,24,v21-scene-d24,Sova,2.513722,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
349,24,v21-scene-d24,Keth,1.181863,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
350,24,v21-scene-d24,Melo,2.910464,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
351,24,v21-scene-d24,Nari,3.667151,0,0,0,collision,Step blocked: personal space or object path in use.,0.62
352,24,v21-scene-d24,Ori,3.510271,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
353,24,v21-scene-d24,Vonn,3.366482,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
354,24,v21-scene-d24,Sova,2.184765,0,0,1,talk,Sova: keep rest space visible before ember bowl.,1.0
355,24,v21-scene-d24,Keth,1.132784,0,0,1,boundary,Keth: keep warning path visible before path cord.,1.0
356,24,v21-scene-d24,Melo,2.64371,0,0,1,ceremony,Melo: keep fair turn visible before tally beads.,1.0
357,24,v21-scene-d24,Nari,3.496741,0,0,1,yield,Nari: keep sealed note visible before ink ledger.,0.953333
358,24,v21-scene-d24,Ori,3.606272,0,0,1,repair,Ori: keep repair warning visible before sap hook.,0.953333
359,24,v21-scene-d24,Vonn,3.366482,0,0,1,observe,Vonn: keep quiet distance visible before listening shell.,1.0
