tick_id,day,settlement_id,resident_id,avatar_room,resident_room,egocentric_relation,visual_near,audible_near,smell_near,temperature_c,wetness_signal,pain_signal,tactile_signal,attention_focus,packet_source,local_not_global,private_workspace_sealed
283,16,roofward,Sera,arrival court,warm lane,distant-ahead,doorway shape,muffled paper hush,warm dust,17.5,0.67,0.21068,wet sole,queued work,avatar first-person local sample,True,True
284,16,archive,Nia,spool room,spool room,co-present,signal spool,spool click,ink linen,15.18,0.32,0.10134,neutral air,resident boundary,avatar first-person local sample,True,True
285,16,signal,Ren,signal perch,lantern walk,distant-behind,doorway shape,muffled rope creak,hot glass,11.46,0.25,0.16272,neutral air,queued work,avatar first-person local sample,True,True
286,16,orchard,Ivo,seed lane,mud row,near-right,dry cord,roof drip,dry twine,14.24,0.26,0.13068,neutral air,queued work,avatar first-person local sample,True,True
287,16,repair_ring,Pax,bell alcove,bell alcove,co-present,insulated tongs,cool fan,stone chalk,17.72,0.24,0.11538,warm edge,queued work,avatar first-person local sample,True,True
288,17,roofward,Sera,ledger loft,warm lane,near-left,brass hinge,hinge ticks,polished brass,19.28,0.25,0.13212,warm edge,queued work,avatar first-person local sample,True,True
289,17,archive,Nia,arrival court,spool room,distant-ahead,doorway shape,muffled spool click,wax seal,13.46,0.68,0.18944,wet sole,resident boundary,avatar first-person local sample,True,True
290,17,signal,Ren,lantern walk,lens room,near-right,oil lantern,rope creak,salt wind,9.74,0.28,0.15948,neutral air,queued work,avatar first-person local sample,True,True
291,17,orchard,Ivo,satchel shed,mud row,distant-behind,doorway shape,muffled seed rattle,apple soil,16.02,0.26,0.13212,warm edge,queued work,avatar first-person local sample,True,True
292,17,repair_ring,Pax,wire bench,bell alcove,distant-ahead,doorway shape,muffled cool fan,hot copper,16.0,0.27,0.1143,neutral air,queued work,avatar first-person local sample,True,True
293,17,riverbend,Ari,wet crossing,plank hall,near-left,ridge lantern,cedar knock,mud thread,11.58,0.67,0.24056,wet sole,queued work,avatar first-person local sample,True,True
294,17,roofward,Sera,sun sill,warm lane,distant-behind,doorway shape,muffled paper hush,thyme paper,20.46,0.29,0.13356,warm edge,queued work,avatar first-person local sample,True,True
295,17,archive,Nia,stone stacks,ink niche,distant-ahead,doorway shape,muffled stone echo,ink linen,14.64,0.25,0.11052,neutral air,queued work,avatar first-person local sample,True,True
296,17,signal,Ren,lens room,lens room,co-present,oil lantern,beacon pulse,hot glass,10.92,0.23,0.1692,neutral air,queued work,avatar first-person local sample,True,True
297,17,orchard,Ivo,arrival court,mud row,distant-ahead,doorway shape,muffled cart creak,dry twine,12.98,0.24,0.13356,neutral air,queued work,avatar first-person local sample,True,True
298,17,repair_ring,Pax,spark lane,bell alcove,near-right,insulated tongs,bell hum,stone chalk,16.46,0.67,0.19322,wet sole,resident boundary,avatar first-person local sample,True,True
299,17,riverbend,Ari,dry ridge,plank hall,distant-behind,doorway shape,muffled lantern tick,warm oil,12.04,0.26,0.1692,neutral air,queued work,avatar first-person local sample,True,True
300,17,roofward,Sera,arrival court,ledger loft,distant-ahead,doorway shape,muffled hinge ticks,polished brass,17.42,0.64,0.215,wet sole,queued work,avatar first-person local sample,True,True
301,17,archive,Nia,spool room,ink niche,near-right,signal spool,page flutter,cold dust,15.1,0.29,0.10944,neutral air,resident boundary,avatar first-person local sample,True,True
302,17,signal,Ren,signal perch,lens room,near-left,oil lantern,static crickets,lamp oil,11.38,0.27,0.16596,neutral air,queued work,avatar first-person local sample,True,True
303,17,orchard,Ivo,seed lane,mud row,near-right,dry cord,seed rattle,apple soil,14.16,0.28,0.135,neutral air,queued work,avatar first-person local sample,True,True
304,17,repair_ring,Pax,bell alcove,bell alcove,co-present,insulated tongs,wire snap,clean cloth,17.64,0.26,0.1143,warm edge,queued work,avatar first-person local sample,True,True
305,17,riverbend,Ari,kit alcove,wet crossing,distant-behind,doorway shape,muffled river slap,wet cedar,13.22,0.25,0.16596,neutral air,queued work,avatar first-person local sample,True,True
306,18,archive,Nia,arrival court,ink niche,distant-ahead,doorway shape,muffled page flutter,ink linen,13.38,0.65,0.19052,wet sole,resident boundary,avatar first-person local sample,True,True
307,18,signal,Ren,lantern walk,lens room,near-right,oil lantern,static crickets,hot glass,9.66,0.3,0.16272,neutral air,queued work,avatar first-person local sample,True,True
308,18,orchard,Ivo,satchel shed,mud row,distant-behind,doorway shape,muffled cart creak,mud reed,15.94,0.28,0.13644,warm edge,queued work,avatar first-person local sample,True,True
309,18,repair_ring,Pax,wire bench,bell alcove,distant-ahead,doorway shape,muffled wire snap,stone chalk,15.92,0.29,0.11322,neutral air,queued work,avatar first-person local sample,True,True
310,18,riverbend,Ari,wet crossing,dry ridge,near-right,ridge lantern,river slap,warm oil,11.5,0.64,0.24272,wet sole,queued work,avatar first-person local sample,True,True
311,18,roofward,Sera,sun sill,ledger loft,near-left,brass hinge,hinge ticks,warm dust,20.38,0.26,0.13644,warm edge,queued work,avatar first-person local sample,True,True
312,18,archive,Nia,stone stacks,ink niche,distant-ahead,doorway shape,muffled spool click,cold dust,14.56,0.27,0.1116,neutral air,queued work,avatar first-person local sample,True,True
313,18,signal,Ren,lens room,lens room,co-present,oil lantern,rope creak,lamp oil,10.84,0.25,0.15948,neutral air,queued work,avatar first-person local sample,True,True
314,18,orchard,Ivo,arrival court,mud row,distant-ahead,doorway shape,muffled roof drip,apple soil,13.62,0.26,0.13788,neutral air,queued work,avatar first-person local sample,True,True
315,18,repair_ring,Pax,spark lane,cool corner,distant-ahead,doorway shape,muffled cool fan,clean cloth,16.38,0.64,0.19214,wet sole,resident boundary,avatar first-person local sample,True,True
316,18,riverbend,Ari,dry ridge,dry ridge,co-present,ridge lantern,cedar knock,wet cedar,11.96,0.23,0.15948,neutral air,queued work,avatar first-person local sample,True,True
317,18,roofward,Sera,arrival court,ledger loft,distant-ahead,doorway shape,muffled sun glass hum,thyme paper,17.34,0.66,0.21788,wet sole,queued work,avatar first-person local sample,True,True
318,18,archive,Nia,spool room,ink niche,near-right,signal spool,stone echo,wax seal,15.02,0.31,0.11052,neutral air,resident boundary,avatar first-person local sample,True,True
319,18,signal,Ren,signal perch,lens room,near-left,oil lantern,beacon pulse,salt wind,11.3,0.29,0.16092,neutral air,queued work,avatar first-person local sample,True,True
320,18,orchard,Ivo,seed lane,market plank,distant-ahead,doorway shape,muffled cart creak,mud reed,14.08,0.25,0.13932,neutral air,queued work,avatar first-person local sample,True,True
321,18,repair_ring,Pax,bell alcove,cool corner,near-right,insulated tongs,bell hum,hot copper,17.56,0.23,0.11322,warm edge,queued work,avatar first-person local sample,True,True
322,18,riverbend,Ari,kit alcove,dry ridge,near-left,ridge lantern,lantern tick,mud thread,13.14,0.27,0.16092,neutral air,queued work,avatar first-person local sample,True,True
323,18,roofward,Sera,glass stair,ledger loft,distant-ahead,doorway shape,muffled hinge ticks,warm dust,18.52,0.28,0.13932,neutral air,queued work,avatar first-person local sample,True,True
324,19,signal,Ren,lantern walk,lens room,near-right,oil lantern,beacon pulse,lamp oil,9.58,0.32,0.1692,neutral air,queued work,avatar first-person local sample,True,True
325,19,orchard,Ivo,satchel shed,satchel shed,co-present,dry cord,roof drip,dry twine,15.86,0.25,0.14076,warm edge,queued work,avatar first-person local sample,True,True
326,19,repair_ring,Pax,wire bench,cool corner,distant-ahead,doorway shape,muffled bell hum,clean cloth,15.84,0.26,0.11214,neutral air,queued work,avatar first-person local sample,True,True
327,19,riverbend,Ari,wet crossing,dry ridge,near-right,ridge lantern,lantern tick,wet cedar,11.42,0.66,0.2492,wet sole,queued work,avatar first-person local sample,True,True
328,19,roofward,Sera,sun sill,ledger loft,near-left,brass hinge,sun glass hum,polished brass,20.3,0.28,0.14076,warm edge,queued work,avatar first-person local sample,True,True
329,19,archive,Nia,stone stacks,ink niche,distant-ahead,doorway shape,muffled page flutter,wax seal,14.48,0.29,0.1116,neutral air,queued work,avatar first-person local sample,True,True
330,19,signal,Ren,lens room,signal perch,near-right,oil lantern,static crickets,salt wind,10.76,0.22,0.16596,neutral air,queued work,avatar first-person local sample,True,True
331,19,orchard,Ivo,arrival court,satchel shed,distant-ahead,doorway shape,muffled seed rattle,mud reed,13.54,0.23,0.1422,neutral air,queued work,avatar first-person local sample,True,True
332,19,repair_ring,Pax,spark lane,cool corner,distant-ahead,doorway shape,muffled wire snap,hot copper,17.02,0.66,0.19106,wet sole,resident boundary,avatar first-person local sample,True,True
333,19,riverbend,Ari,dry ridge,dry ridge,co-present,ridge lantern,river slap,mud thread,11.88,0.25,0.16596,neutral air,queued work,avatar first-person local sample,True,True
334,19,roofward,Sera,arrival court,ledger loft,distant-ahead,doorway shape,muffled paper hush,warm dust,17.26,0.68,0.2222,wet sole,queued work,avatar first-person local sample,True,True
335,19,archive,Nia,spool room,memory desk,distant-ahead,doorway shape,muffled spool click,ink linen,14.94,0.28,0.11052,neutral air,resident boundary,avatar first-person local sample,True,True
336,19,signal,Ren,signal perch,signal perch,co-present,oil lantern,rope creak,hot glass,11.22,0.26,0.16272,neutral air,queued work,avatar first-person local sample,True,True
337,19,orchard,Ivo,seed lane,satchel shed,distant-ahead,doorway shape,muffled roof drip,dry twine,14.0,0.27,0.14364,neutral air,queued work,avatar first-person local sample,True,True
338,19,repair_ring,Pax,bell alcove,cool corner,near-right,insulated tongs,cool fan,stone chalk,17.48,0.25,0.11916,warm edge,queued work,avatar first-person local sample,True,True
339,19,riverbend,Ari,kit alcove,dry ridge,near-left,ridge lantern,cedar knock,warm oil,13.06,0.29,0.16272,neutral air,queued work,avatar first-person local sample,True,True
340,19,roofward,Sera,glass stair,sun sill,distant-ahead,doorway shape,muffled sun glass hum,polished brass,18.44,0.25,0.14364,neutral air,queued work,avatar first-person local sample,True,True
341,19,archive,Nia,ink niche,memory desk,near-right,signal spool,stone echo,cold dust,16.12,0.23,0.1116,warm edge,queued work,avatar first-person local sample,True,True
342,20,orchard,Ivo,satchel shed,satchel shed,co-present,dry cord,seed rattle,apple soil,15.78,0.27,0.14508,warm edge,queued work,avatar first-person local sample,True,True
343,20,repair_ring,Pax,wire bench,cool corner,distant-ahead,doorway shape,muffled cool fan,hot copper,15.76,0.28,0.11808,neutral air,queued work,avatar first-person local sample,True,True
344,20,riverbend,Ari,wet crossing,dry ridge,near-right,ridge lantern,cedar knock,mud thread,11.34,0.68,0.23948,wet sole,queued work,avatar first-person local sample,True,True
345,20,roofward,Sera,sun sill,arrival court,distant-behind,doorway shape,muffled paper hush,thyme paper,20.22,0.25,0.14508,warm edge,queued work,avatar first-person local sample,True,True
346,20,archive,Nia,stone stacks,memory desk,distant-ahead,doorway shape,muffled stone echo,ink linen,14.4,0.26,0.11052,neutral air,queued work,avatar first-person local sample,True,True
347,20,signal,Ren,lens room,signal perch,near-right,oil lantern,beacon pulse,hot glass,10.68,0.24,0.15948,neutral air,queued work,avatar first-person local sample,True,True
348,20,orchard,Ivo,arrival court,satchel shed,distant-ahead,doorway shape,muffled cart creak,dry twine,13.46,0.25,0.14652,neutral air,queued work,avatar first-person local sample,True,True
349,20,repair_ring,Pax,spark lane,cool corner,distant-ahead,doorway shape,muffled bell hum,stone chalk,16.94,0.68,0.197,wet sole,resident boundary,avatar first-person local sample,True,True
350,20,riverbend,Ari,dry ridge,kit alcove,near-right,ridge lantern,lantern tick,warm oil,12.52,0.22,0.1692,neutral air,queued work,avatar first-person local sample,True,True
351,20,roofward,Sera,arrival court,arrival court,co-present,brass hinge,hinge ticks,polished brass,17.18,0.65,0.22652,wet sole,queued work,avatar first-person local sample,True,True
352,20,archive,Nia,spool room,memory desk,distant-ahead,doorway shape,muffled page flutter,cold dust,14.86,0.3,0.10944,neutral air,resident boundary,avatar first-person local sample,True,True
353,20,signal,Ren,signal perch,signal perch,co-present,oil lantern,static crickets,lamp oil,11.14,0.28,0.16092,neutral air,queued work,avatar first-person local sample,True,True
354,20,orchard,Ivo,seed lane,satchel shed,distant-ahead,doorway shape,muffled seed rattle,apple soil,13.92,0.29,0.14796,neutral air,queued work,avatar first-person local sample,True,True
355,20,repair_ring,Pax,bell alcove,arrival court,distant-behind,doorway shape,muffled wire snap,clean cloth,17.4,0.22,0.11808,warm edge,queued work,avatar first-person local sample,True,True
356,20,riverbend,Ari,kit alcove,kit alcove,co-present,ridge lantern,river slap,wet cedar,12.98,0.26,0.16596,neutral air,queued work,avatar first-person local sample,True,True
357,20,roofward,Sera,glass stair,arrival court,near-left,brass hinge,paper hush,thyme paper,18.36,0.27,0.14796,neutral air,queued work,avatar first-person local sample,True,True
358,20,archive,Nia,ink niche,memory desk,near-right,signal spool,spool click,wax seal,16.04,0.25,0.11754,neutral air,queued work,avatar first-person local sample,True,True
359,20,signal,Ren,arrival court,signal perch,distant-ahead,doorway shape,muffled beacon pulse,hot glass,8.82,0.68,0.2492,wet sole,queued work,avatar first-person local sample,True,True
360,21,repair_ring,Pax,wire bench,wire bench,co-present,insulated tongs,wire snap,stone chalk,15.68,0.25,0.117,neutral air,queued work,avatar first-person local sample,True,True
361,21,riverbend,Ari,wet crossing,kit alcove,distant-ahead,doorway shape,muffled river slap,warm oil,11.26,0.65,0.24272,wet sole,queued work,avatar first-person local sample,True,True
362,21,roofward,Sera,sun sill,arrival court,distant-behind,doorway shape,muffled hinge ticks,warm dust,20.14,0.27,0.1494,warm edge,queued work,avatar first-person local sample,True,True
363,21,archive,Nia,stone stacks,memory desk,distant-ahead,doorway shape,muffled spool click,cold dust,14.32,0.28,0.11646,neutral air,queued work,avatar first-person local sample,True,True
364,21,signal,Ren,lens room,signal perch,near-right,oil lantern,rope creak,lamp oil,10.6,0.26,0.16596,neutral air,queued work,avatar first-person local sample,True,True
365,21,orchard,Ivo,arrival court,arrival court,co-present,dry cord,roof drip,apple soil,13.38,0.22,0.1494,neutral air,queued work,avatar first-person local sample,True,True
366,21,repair_ring,Pax,spark lane,wire bench,near-left,insulated tongs,cool fan,clean cloth,16.86,0.65,0.19592,wet sole,resident boundary,avatar first-person local sample,True,True
367,21,riverbend,Ari,dry ridge,kit alcove,near-right,ridge lantern,cedar knock,wet cedar,12.44,0.24,0.15948,neutral air,queued work,avatar first-person local sample,True,True
368,21,roofward,Sera,arrival court,arrival court,co-present,brass hinge,sun glass hum,thyme paper,17.82,0.67,0.23084,wet sole,queued work,avatar first-person local sample,True,True
369,21,archive,Nia,spool room,memory desk,distant-ahead,doorway shape,muffled stone echo,wax seal,14.78,0.32,0.11538,neutral air,resident boundary,avatar first-person local sample,True,True
370,21,signal,Ren,signal perch,arrival court,distant-behind,doorway shape,muffled beacon pulse,salt wind,11.06,0.25,0.16272,neutral air,queued work,avatar first-person local sample,True,True
371,21,orchard,Ivo,seed lane,arrival court,near-left,dry cord,cart creak,mud reed,13.84,0.26,0.15084,neutral air,queued work,avatar first-person local sample,True,True
372,21,repair_ring,Pax,bell alcove,wire bench,distant-behind,doorway shape,muffled bell hum,hot copper,17.32,0.24,0.117,warm edge,queued work,avatar first-person local sample,True,True
373,21,riverbend,Ari,kit alcove,kit alcove,co-present,ridge lantern,lantern tick,mud thread,12.9,0.28,0.16092,neutral air,queued work,avatar first-person local sample,True,True
374,21,roofward,Sera,glass stair,arrival court,near-left,brass hinge,hinge ticks,warm dust,18.28,0.29,0.15228,neutral air,queued work,avatar first-person local sample,True,True
375,21,archive,Nia,ink niche,arrival court,distant-behind,doorway shape,muffled page flutter,ink linen,15.96,0.22,0.11646,neutral air,queued work,avatar first-person local sample,True,True
376,21,signal,Ren,arrival court,arrival court,co-present,oil lantern,rope creak,lamp oil,8.74,0.65,0.23948,wet sole,queued work,avatar first-person local sample,True,True
377,21,orchard,Ivo,mud row,arrival court,distant-behind,doorway shape,muffled seed rattle,dry twine,15.02,0.66,0.23228,wet sole,queued work,avatar first-person local sample,True,True
378,22,riverbend,Ari,wet crossing,kit alcove,distant-ahead,doorway shape,muffled lantern tick,wet cedar,11.18,0.67,0.2492,wet sole,queued work,avatar first-person local sample,True,True
379,22,roofward,Sera,sun sill,arrival court,distant-behind,doorway shape,muffled sun glass hum,polished brass,20.06,0.29,0.15372,warm edge,queued work,avatar first-person local sample,True,True
380,22,archive,Nia,stone stacks,stone stacks,co-present,signal spool,page flutter,wax seal,14.24,0.25,0.11538,neutral air,queued work,avatar first-person local sample,True,True
381,22,signal,Ren,lens room,arrival court,distant-behind,doorway shape,muffled static crickets,salt wind,10.52,0.23,0.16092,neutral air,queued work,avatar first-person local sample,True,True
382,22,orchard,Ivo,arrival court,arrival court,co-present,dry cord,seed rattle,mud reed,13.3,0.24,0.15372,neutral air,queued work,avatar first-person local sample,True,True
383,22,repair_ring,Pax,spark lane,wire bench,near-left,insulated tongs,wire snap,hot copper,16.78,0.67,0.19592,wet sole,resident boundary,avatar first-person local sample,True,True
384,22,riverbend,Ari,dry ridge,kit alcove,near-right,ridge lantern,river slap,mud thread,12.36,0.26,0.16596,neutral air,queued work,avatar first-person local sample,True,True
385,22,roofward,Sera,arrival court,glass stair,near-right,brass hinge,paper hush,warm dust,17.74,0.64,0.23516,wet sole,queued work,avatar first-person local sample,True,True
386,22,archive,Nia,spool room,stone stacks,near-left,signal spool,spool click,ink linen,15.42,0.29,0.1143,neutral air,resident boundary,avatar first-person local sample,True,True
387,22,signal,Ren,signal perch,arrival court,distant-behind,doorway shape,muffled rope creak,hot glass,10.98,0.27,0.16236,neutral air,queued work,avatar first-person local sample,True,True
388,22,orchard,Ivo,seed lane,arrival court,near-left,dry cord,roof drip,dry twine,13.76,0.28,0.15516,neutral air,queued work,avatar first-person local sample,True,True
389,22,repair_ring,Pax,bell alcove,wire bench,distant-behind,doorway shape,muffled cool fan,stone chalk,17.24,0.26,0.117,warm edge,queued work,avatar first-person local sample,True,True
390,22,riverbend,Ari,kit alcove,arrival court,distant-behind,doorway shape,muffled cedar knock,warm oil,12.82,0.25,0.16272,neutral air,queued work,avatar first-person local sample,True,True
391,22,roofward,Sera,glass stair,glass stair,co-present,brass hinge,sun glass hum,polished brass,18.2,0.26,0.1566,neutral air,queued work,avatar first-person local sample,True,True
392,22,archive,Nia,ink niche,stone stacks,distant-behind,doorway shape,muffled stone echo,cold dust,15.88,0.24,0.11538,neutral air,queued work,avatar first-person local sample,True,True
393,22,signal,Ren,arrival court,arrival court,co-present,oil lantern,static crickets,salt wind,8.66,0.67,0.23912,wet sole,queued work,avatar first-person local sample,True,True
394,22,orchard,Ivo,mud row,arrival court,distant-behind,doorway shape,muffled cart creak,apple soil,14.94,0.68,0.2366,wet sole,queued work,avatar first-person local sample,True,True
395,22,repair_ring,Pax,cool corner,spark lane,distant-behind,doorway shape,muffled bell hum,clean cloth,18.42,0.25,0.11592,warm edge,resident boundary,avatar first-person local sample,True,True
396,23,roofward,Sera,sun sill,glass stair,distant-behind,doorway shape,muffled paper hush,thyme paper,19.98,0.26,0.15804,warm edge,queued work,avatar first-person local sample,True,True
397,23,archive,Nia,stone stacks,stone stacks,co-present,signal spool,stone echo,ink linen,14.16,0.27,0.1143,neutral air,queued work,avatar first-person local sample,True,True
398,23,signal,Ren,lens room,arrival court,distant-behind,doorway shape,muffled beacon pulse,hot glass,10.44,0.25,0.16056,neutral air,queued work,avatar first-person local sample,True,True
399,23,orchard,Ivo,arrival court,arrival court,co-present,dry cord,cart creak,dry twine,13.22,0.26,0.15804,neutral air,queued work,avatar first-person local sample,True,True
400,23,repair_ring,Pax,spark lane,bell alcove,near-right,insulated tongs,bell hum,stone chalk,16.7,0.64,0.197,wet sole,resident boundary,avatar first-person local sample,True,True
401,23,riverbend,Ari,dry ridge,arrival court,distant-behind,doorway shape,muffled lantern tick,warm oil,12.28,0.23,0.15948,neutral air,queued work,avatar first-person local sample,True,True
402,23,roofward,Sera,arrival court,glass stair,near-right,brass hinge,hinge ticks,polished brass,17.66,0.66,0.23948,wet sole,queued work,avatar first-person local sample,True,True
403,23,archive,Nia,spool room,stone stacks,near-left,signal spool,page flutter,cold dust,15.34,0.31,0.11322,neutral air,resident boundary,avatar first-person local sample,True,True
404,23,signal,Ren,signal perch,arrival court,distant-behind,doorway shape,muffled static crickets,lamp oil,11.62,0.29,0.162,neutral air,queued work,avatar first-person local sample,True,True
405,23,orchard,Ivo,seed lane,seed lane,co-present,dry cord,seed rattle,apple soil,13.68,0.25,0.15948,neutral air,queued work,avatar first-person local sample,True,True
406,23,repair_ring,Pax,bell alcove,bell alcove,co-present,insulated tongs,wire snap,clean cloth,17.16,0.23,0.1251,warm edge,queued work,avatar first-person local sample,True,True
407,23,riverbend,Ari,kit alcove,arrival court,distant-behind,doorway shape,muffled river slap,wet cedar,12.74,0.27,0.16092,neutral air,queued work,avatar first-person local sample,True,True
408,23,roofward,Sera,glass stair,glass stair,co-present,brass hinge,paper hush,thyme paper,18.12,0.28,0.16092,neutral air,queued work,avatar first-person local sample,True,True
409,23,archive,Nia,ink niche,stone stacks,distant-behind,doorway shape,muffled spool click,wax seal,15.8,0.26,0.1143,neutral air,queued work,avatar first-person local sample,True,True
410,23,signal,Ren,arrival court,mast base,near-right,oil lantern,beacon pulse,hot glass,8.58,0.64,0.2492,wet sole,queued work,avatar first-person local sample,True,True
411,23,orchard,Ivo,mud row,seed lane,near-left,dry cord,roof drip,mud reed,14.86,0.65,0.24092,wet sole,queued work,avatar first-person local sample,True,True
412,23,repair_ring,Pax,cool corner,bell alcove,near-left,insulated tongs,cool fan,hot copper,18.34,0.27,0.12402,warm edge,resident boundary,avatar first-person local sample,True,True
413,23,riverbend,Ari,arrival court,arrival court,co-present,ridge lantern,lantern tick,warm oil,10.42,0.25,0.1692,neutral air,queued work,avatar first-person local sample,True,True
414,24,archive,Nia,stone stacks,stone stacks,co-present,signal spool,spool click,cold dust,14.08,0.29,0.11322,neutral air,queued work,avatar first-person local sample,True,True
415,24,signal,Ren,lens room,lantern walk,near-left,oil lantern,rope creak,lamp oil,10.36,0.22,0.16596,neutral air,queued work,avatar first-person local sample,True,True
416,24,orchard,Ivo,arrival court,seed lane,near-right,dry cord,roof drip,apple soil,13.14,0.23,0.16236,neutral air,queued work,avatar first-person local sample,True,True
417,24,repair_ring,Pax,spark lane,bell alcove,near-right,insulated tongs,cool fan,clean cloth,16.62,0.66,0.21212,wet sole,resident boundary,avatar first-person local sample,True,True
418,24,riverbend,Ari,dry ridge,arrival court,distant-behind,doorway shape,muffled cedar knock,wet cedar,12.2,0.25,0.16596,neutral air,queued work,avatar first-person local sample,True,True
419,24,roofward,Sera,arrival court,glass stair,near-right,brass hinge,sun glass hum,thyme paper,17.58,0.68,0.24236,wet sole,queued work,avatar first-person local sample,True,True
420,24,archive,Nia,spool room,spool room,co-present,signal spool,stone echo,wax seal,15.26,0.28,0.11214,neutral air,resident boundary,avatar first-person local sample,True,True
421,24,signal,Ren,signal perch,lantern walk,distant-behind,doorway shape,muffled beacon pulse,salt wind,11.54,0.26,0.16272,neutral air,queued work,avatar first-person local sample,True,True
422,24,orchard,Ivo,seed lane,seed lane,co-present,dry cord,cart creak,mud reed,14.32,0.27,0.15912,neutral air,queued work,avatar first-person local sample,True,True
423,24,repair_ring,Pax,bell alcove,bell alcove,co-present,insulated tongs,bell hum,hot copper,17.08,0.25,0.1332,warm edge,queued work,avatar first-person local sample,True,True
424,24,riverbend,Ari,kit alcove,arrival court,distant-behind,doorway shape,muffled lantern tick,mud thread,12.66,0.29,0.16272,neutral air,queued work,avatar first-person local sample,True,True
425,24,roofward,Sera,glass stair,warm lane,near-right,brass hinge,hinge ticks,warm dust,18.04,0.25,0.15912,neutral air,queued work,avatar first-person local sample,True,True
426,24,archive,Nia,ink niche,spool room,near-left,signal spool,page flutter,ink linen,15.72,0.23,0.12024,neutral air,queued work,avatar first-person local sample,True,True
427,24,signal,Ren,arrival court,lantern walk,distant-ahead,doorway shape,muffled rope creak,lamp oil,8.5,0.66,0.23948,wet sole,queued work,avatar first-person local sample,True,True
428,24,orchard,Ivo,mud row,seed lane,near-left,dry cord,seed rattle,dry twine,14.78,0.67,0.24056,wet sole,queued work,avatar first-person local sample,True,True
429,24,repair_ring,Pax,cool corner,bell alcove,near-left,insulated tongs,wire snap,stone chalk,18.26,0.29,0.13212,warm edge,resident boundary,avatar first-person local sample,True,True
430,24,riverbend,Ari,arrival court,plank hall,near-right,ridge lantern,cedar knock,wet cedar,10.34,0.22,0.15948,neutral air,queued work,avatar first-person local sample,True,True
431,24,roofward,Sera,warm lane,warm lane,co-present,brass hinge,paper hush,polished brass,19.22,0.29,0.16056,warm edge,queued work,avatar first-person local sample,True,True
432,25,signal,Ren,lens room,lantern walk,near-left,oil lantern,static crickets,salt wind,10.28,0.24,0.16092,neutral air,queued work,avatar first-person local sample,True,True
433,25,orchard,Ivo,arrival court,seed lane,near-right,dry cord,seed rattle,mud reed,13.06,0.25,0.162,neutral air,queued work,avatar first-person local sample,True,True
434,25,repair_ring,Pax,spark lane,bell alcove,near-right,insulated tongs,wire snap,hot copper,16.54,0.68,0.2132,wet sole,resident boundary,avatar first-person local sample,True,True
435,25,riverbend,Ari,dry ridge,wet crossing,near-left,ridge lantern,river slap,mud thread,12.12,0.22,0.16092,neutral air,queued work,avatar first-person local sample,True,True
436,25,roofward,Sera,arrival court,warm lane,distant-ahead,doorway shape,muffled paper hush,warm dust,17.5,0.65,0.242,wet sole,queued work,avatar first-person local sample,True,True
437,25,archive,Nia,spool room,spool room,co-present,signal spool,spool click,ink linen,15.18,0.3,0.11916,neutral air,resident boundary,avatar first-person local sample,True,True
438,25,signal,Ren,signal perch,lantern walk,distant-behind,doorway shape,muffled rope creak,hot glass,11.46,0.28,0.16236,neutral air,queued work,avatar first-person local sample,True,True
439,25,orchard,Ivo,seed lane,seed lane,co-present,dry cord,roof drip,dry twine,14.24,0.29,0.15876,neutral air,queued work,avatar first-person local sample,True,True
440,25,repair_ring,Pax,bell alcove,cool corner,near-right,insulated tongs,cool fan,stone chalk,17.72,0.22,0.13428,warm edge,queued work,avatar first-person local sample,True,True
441,25,riverbend,Ari,kit alcove,wet crossing,distant-behind,doorway shape,muffled cedar knock,warm oil,12.58,0.26,0.16236,neutral air,queued work,avatar first-person local sample,True,True
442,25,roofward,Sera,glass stair,warm lane,near-right,brass hinge,sun glass hum,polished brass,17.96,0.27,0.15876,neutral air,queued work,avatar first-person local sample,True,True
443,25,archive,Nia,ink niche,spool room,near-left,signal spool,stone echo,cold dust,15.64,0.25,0.12024,neutral air,queued work,avatar first-person local sample,True,True
444,25,signal,Ren,arrival court,lantern walk,distant-ahead,doorway shape,muffled static crickets,salt wind,8.42,0.68,0.23912,wet sole,queued work,avatar first-person local sample,True,True
445,25,orchard,Ivo,mud row,mud row,co-present,dry cord,cart creak,apple soil,14.7,0.64,0.2402,wet sole,queued work,avatar first-person local sample,True,True
446,25,repair_ring,Pax,cool corner,cool corner,co-present,insulated tongs,bell hum,clean cloth,18.18,0.26,0.1332,warm edge,resident boundary,avatar first-person local sample,True,True
447,25,riverbend,Ari,arrival court,wet crossing,distant-ahead,doorway shape,muffled river slap,mud thread,10.26,0.24,0.15912,neutral air,queued work,avatar first-person local sample,True,True
448,25,roofward,Sera,warm lane,warm lane,co-present,brass hinge,hinge ticks,thyme paper,19.14,0.31,0.1602,neutral air,queued work,avatar first-person local sample,True,True
449,25,archive,Nia,memory desk,spool room,distant-behind,doorway shape,muffled page flutter,wax seal,16.82,0.29,0.11916,warm edge,resident boundary,avatar first-person local sample,True,True
450,26,orchard,Ivo,arrival court,market plank,distant-ahead,doorway shape,muffled cart creak,dry twine,12.98,0.22,0.16164,neutral air,queued work,avatar first-person local sample,True,True
451,26,repair_ring,Pax,spark lane,cool corner,distant-ahead,doorway shape,muffled bell hum,stone chalk,16.46,0.65,0.21428,wet sole,resident boundary,avatar first-person local sample,True,True
