tick_index,agent,event_kind,body_summary,egocentric_summary,ego_summary,public_workspace_hint,memory_id,visible_behavior,refusal_or_recovery,trace_integrity_token
1,Ari,avatar_approach,energy=0.792; pain=0.040; comfort=0.670; safety=0.691,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.236; respect=0.585,private,r241-ari-001,Ari: focused; tracks nearby task; nonverbal,ordinary,r241:1:Ari:r241-ari-001:2.301
81,Sol,avatar_approach,energy=0.452; pain=0.040; comfort=0.670; safety=0.689,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.245; respect=0.580,private,r241-sol-081,Sol: focused; tracks nearby task; nonverbal,ordinary,r241:81:Sol:r241-sol-081:2.543
82,Ari,wet_route_request,energy=0.353; pain=0.140; comfort=0.500; safety=0.581,I am at workbench alcove; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.835; boundary=0.421; respect=0.400,private,r241-ari-082,Ari: tired; tracks nearby task; nonverbal,ordinary,r241:82:Ari:r241-ari-082:2.55
83,Fay,interrupt_repair,energy=0.385; pain=0.290; comfort=0.490; safety=0.518,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.701; respect=0.298,rest / guarded,r241-fay-083,Fay: guarded; checks exits before answering; bounded refusal,refusal,r241:83:Fay:r241-fay-083:2.519
84,Milo,give_space,energy=0.557; pain=0.000; comfort=0.860; safety=0.824,I am at workbench alcove; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.051; respect=0.772,attachment_and_trust / comforted,r241-milo-084,Milo: comforted; turns toward avatar; soft repair,recovery,r241:84:Milo:r241-milo-084:2.451
85,Sol,return_tool,energy=0.551; pain=0.000; comfort=0.860; safety=0.808,I am at quiet corner; I can see stone seed ledger; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.261; respect=0.818,attachment_and_trust / comforted,r241-sol-085,Sol: comforted; turns toward avatar; soft repair,recovery,r241:85:Sol:r241-sol-085:2.351
86,Ari,praise_work,energy=0.416; pain=0.040; comfort=0.670; safety=0.691,I am at workbench alcove; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.083; respect=0.763,rest / comforted,r241-ari-086,Ari: comforted; tracks nearby task; brief self-report,ordinary,r241:86:Ari:r241-ari-086:2.225
87,Fay,misname,energy=0.412; pain=0.120; comfort=0.540; safety=0.518,I am at workbench alcove; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.851; boundary=0.442; respect=0.338,private,r241-fay-087,Fay: startled; checks exits before answering; nonverbal,ordinary,r241:87:Fay:r241-fay-087:2.08
88,Milo,apologize,energy=0.540; pain=0.000; comfort=0.860; safety=0.824,I am at market canopy; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.021; respect=0.807,attachment_and_trust / comforted,r241-milo-088,Milo: comforted; turns toward avatar; soft repair,recovery,r241:88:Milo:r241-milo-088:1.927
89,Sol,agent_help_request,energy=0.358; pain=0.210; comfort=0.620; safety=0.689,I am at quiet corner; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.101; respect=0.748,rest / comforted,r241-sol-089,Sol: comforted; tracks nearby task; brief self-report,ordinary,r241:89:Sol:r241-sol-089:1.774
90,Ari,crowded_market,energy=0.407; pain=0.120; comfort=0.540; safety=0.511,I am at west route; I can see warm blue blanket; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.821; boundary=0.372; respect=0.449,private,r241-ari-090,Ari: startled; checks exits before answering; nonverbal,ordinary,r241:90:Ari:r241-ari-090:1.63
91,Fay,cold_rain,energy=0.318; pain=0.140; comfort=0.500; safety=0.588,I am at hearth nest; I can see warm blue blanket; I hear rain ticking; near me is avatar.,self_relevance=0.865; boundary=0.574; respect=0.426,warmth_and_dryness / tired,r241-fay-091,Fay: tired; tracks nearby task; brief self-report,ordinary,r241:91:Fay:r241-fay-091:1.506
92,Milo,comfort_offer,energy=0.539; pain=0.000; comfort=0.860; safety=0.824,I am at market canopy; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.780; boundary=0.015; respect=0.814,attachment_and_trust / comforted,r241-milo-092,Milo: comforted; turns toward avatar; soft repair,recovery,r241:92:Milo:r241-milo-092:1.408
93,Sol,ask_same_memory,energy=0.411; pain=0.120; comfort=0.540; safety=0.508,I am at market canopy; I can see west-route repair kit; I hear nearby breath and footfall; near me is avatar.,self_relevance=0.830; boundary=0.412; respect=0.412,private,r241-sol-093,Sol: startled; checks exits before answering; nonverbal,ordinary,r241:93:Sol:r241-sol-093:1.342
94,Ari,ritual_invite,energy=0.413; pain=0.040; comfort=0.670; safety=0.691,I am at workbench alcove; I can see copper clicker lens; I hear low hum ritual tone; near me is avatar.,self_relevance=0.780; boundary=0.116; respect=0.725,private,r241-ari-094,Ari: comforted; tracks nearby task; nonverbal,ordinary,r241:94:Ari:r241-ari-094:1.314
95,Fay,peer_takes_tool,energy=0.364; pain=0.210; comfort=0.620; safety=0.698,I am at hearth nest; I can see warm blue blanket; I hear nearby breath and footfall; near me is Milo.,self_relevance=0.898; boundary=0.688; respect=0.311,rest / guarded,r241-fay-095,Fay: guarded; looks away then back; bounded refusal,refusal,r241:95:Fay:r241-fay-095:1.323
96,Milo,shared_rest,energy=0.546; pain=0.000; comfort=0.860; safety=0.824,I am at market canopy; I can see copper clicker lens; I hear nearby breath and footfall; near me is avatar.,self_relevance=1.000; boundary=0.259; respect=0.786,attachment_and_trust / comforted,r241-milo-096,Milo: comforted; turns toward avatar; soft repair,recovery,r241:96:Milo:r241-milo-096:1.371
