tick_id,agent_id,replay_event,payload_hash,dom_selector,expected_public_state,observed_public_state,replay_exportable,deterministic_order
341,Nia,click_to_talk_reply,v35-320620,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,371
343,Ivo,avatar_text_input,v35-827959,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,372
343,Ivo,click_to_talk_reply,v35-051352,#talk-Ivo,I can bring seeds if we keep them dry.,I can bring seeds if we keep them dry.,True,373
345,Ari,click_to_talk_reply,v35-354530,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,374
346,Fay,avatar_text_input,v35-826244,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,375
346,Fay,click_to_talk_reply,v35-102603,#talk-Fay,That request is easier if we go slowly.,That request is easier if we go slowly.,True,376
348,Milo,avatar_text_input,v35-855979,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,377
348,Milo,click_to_talk_reply,v35-414060,#talk-Milo,I am not walking blind while the lantern sputters.,I am not walking blind while the lantern sputters.,True,378
350,Juno,avatar_text_input,v35-965911,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,379
350,Juno,click_to_talk_reply,v35-379915,#talk-Juno,Energy low but steady; comfort is 0.95 and safety is 0.94.,Energy low but steady; comfort is 0.95 and safety is 0.94.,True,380
351,Ari,click_to_talk_reply,v35-354073,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,381
353,Nia,avatar_text_input,v35-940924,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,382
353,Nia,click_to_talk_reply,v35-353732,#talk-Nia,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,383
354,Milo,avatar_text_input,v35-073405,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,384
354,Milo,click_to_talk_reply,v35-413603,#talk-Milo,I am not walking blind while the lantern sputters.,I am not walking blind while the lantern sputters.,True,385
355,Ivo,avatar_text_input,v35-835944,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,386
355,Ivo,click_to_talk_reply,v35-384296,#talk-Ivo,I will not step into the fen with the satchel open.,I will not step into the fen with the satchel open.,True,387
357,Ari,click_to_talk_reply,v35-354985,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,388
358,Fay,avatar_text_input,v35-834229,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,389
358,Fay,click_to_talk_reply,v35-306770,#talk-Fay,I need a slower route before I carry the ledger.,I need a slower route before I carry the ledger.,True,390
360,Milo,avatar_text_input,v35-936346,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,391
360,Milo,click_to_talk_reply,v35-135038,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,392
362,Juno,avatar_text_input,v35-182505,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,393
362,Juno,click_to_talk_reply,v35-122071,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,394
363,Ari,click_to_talk_reply,v35-354528,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,395
365,Nia,avatar_text_input,v35-156498,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,396
365,Nia,click_to_talk_reply,v35-435022,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,397
367,Ivo,avatar_text_input,v35-917287,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,398
367,Ivo,click_to_talk_reply,v35-357800,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,399
369,Ari,click_to_talk_reply,v35-355440,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,400
370,Fay,avatar_text_input,v35-914203,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,401
370,Fay,click_to_talk_reply,v35-206311,#talk-Fay,Thank you for not rushing me; I can continue.,Thank you for not rushing me; I can continue.,True,402
371,Nia,avatar_text_input,v35-796044,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,403
371,Nia,click_to_talk_reply,v35-321073,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,404
372,Milo,avatar_text_input,v35-967086,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,405
372,Milo,click_to_talk_reply,v35-928950,#talk-Milo,Gabriel kept the lantern lit.,Gabriel kept the lantern lit.,True,406
374,Juno,avatar_text_input,v35-075428,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,407
374,Juno,click_to_talk_reply,v35-447906,#talk-Juno,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,True,408
375,Ari,click_to_talk_reply,v35-354983,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,409
376,Fay,avatar_text_input,v35-942962,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,410
376,Fay,click_to_talk_reply,v35-353519,#talk-Fay,Energy low but steady; comfort is 0.93 and safety is 0.71.,Energy low but steady; comfort is 0.93 and safety is 0.71.,True,411
377,Nia,avatar_text_input,v35-049910,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,412
377,Nia,click_to_talk_reply,v35-284436,#talk-Nia,Do not pull the spool from my hands. Ask first.,Do not pull the spool from my hands. Ask first.,True,413
379,Ivo,avatar_text_input,v35-947877,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,414
379,Ivo,click_to_talk_reply,v35-035817,#talk-Ivo,Gabriel protected the seed satchel.,Gabriel protected the seed satchel.,True,415
381,Ari,click_to_talk_reply,v35-354526,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,416
382,Fay,avatar_text_input,v35-944793,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,417
382,Fay,click_to_talk_reply,v35-084345,#talk-Fay,Gabriel slowed down after I hesitated.,Gabriel slowed down after I hesitated.,True,418
384,Milo,avatar_text_input,v35-819649,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,419
384,Milo,click_to_talk_reply,v35-029160,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,420
386,Juno,avatar_text_input,v35-850426,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,421
386,Juno,click_to_talk_reply,v35-106711,#talk-Juno,I can finish if you give my hands room.,I can finish if you give my hands room.,True,422
387,Ari,avatar_text_input,v35-797752,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,423
387,Ari,click_to_talk_reply,v35-185277,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,424
389,Nia,avatar_text_input,v35-826024,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,425
389,Nia,click_to_talk_reply,v35-467523,#talk-Nia,I can explain the pattern if you leave the spool with me.,I can explain the pattern if you leave the spool with me.,True,426
391,Ivo,avatar_text_input,v35-799797,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,427
391,Ivo,click_to_talk_reply,v35-245599,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,428
393,Ari,avatar_text_input,v35-914326,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,429
393,Ari,click_to_talk_reply,v35-295197,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,430
394,Fay,avatar_text_input,v35-798082,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,431
394,Fay,click_to_talk_reply,v35-098729,#talk-Fay,Thank you for not rushing me; I can continue.,Thank you for not rushing me; I can continue.,True,432
396,Milo,avatar_text_input,v35-965706,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,433
396,Milo,click_to_talk_reply,v35-379517,#talk-Milo,Energy low but steady; comfort is 0.93 and safety is 0.86.,Energy low but steady; comfort is 0.93 and safety is 0.86.,True,434
398,Juno,avatar_text_input,v35-858455,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,435
398,Juno,click_to_talk_reply,v35-448816,#talk-Juno,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,True,436
399,Ari,click_to_talk_reply,v35-355893,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,437
401,Nia,avatar_text_input,v35-831280,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,438
401,Nia,click_to_talk_reply,v35-282617,#talk-Nia,Do not pull the spool from my hands. Ask first.,Do not pull the spool from my hands. Ask first.,True,439
403,Ivo,avatar_text_input,v35-943770,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,440
403,Ivo,click_to_talk_reply,v35-356578,#talk-Ivo,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,441
405,Ari,click_to_talk_reply,v35-354076,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,442
406,Fay,avatar_text_input,v35-942055,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,443
406,Fay,click_to_talk_reply,v35-354634,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.77.,Energy low but steady; comfort is 0.96 and safety is 0.77.,True,444
408,Milo,avatar_text_input,v35-180940,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,445
408,Milo,click_to_talk_reply,v35-135498,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,446
410,Juno,avatar_text_input,v35-937462,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,447
410,Juno,click_to_talk_reply,v35-121162,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,448
411,Ari,click_to_talk_reply,v35-353619,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,449
413,Nia,avatar_text_input,v35-912623,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,450
413,Nia,click_to_talk_reply,v35-434113,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,451
415,Ivo,avatar_text_input,v35-159344,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,452
415,Ivo,click_to_talk_reply,v35-356891,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,453
417,Ari,click_to_talk_reply,v35-354531,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,454
418,Fay,avatar_text_input,v35-157629,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,455
418,Fay,click_to_talk_reply,v35-206771,#talk-Fay,Thank you for not rushing me; I can continue.,Thank you for not rushing me; I can continue.,True,456
420,Ivo,avatar_text_input,v35-827351,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,457
420,Ivo,click_to_talk_reply,v35-050744,#talk-Ivo,I can bring seeds if we keep them dry.,I can bring seeds if we keep them dry.,True,458
422,Ari,avatar_text_input,v35-156233,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,459
422,Ari,click_to_talk_reply,v35-294138,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,460
423,Fay,click_to_talk_reply,v35-354017,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.84.,Energy low but steady; comfort is 0.96 and safety is 0.84.,True,461
425,Milo,avatar_text_input,v35-819045,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,462
425,Milo,click_to_talk_reply,v35-028556,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,463
427,Juno,avatar_text_input,v35-849822,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,464
427,Juno,click_to_talk_reply,v35-106107,#talk-Juno,I can finish if you give my hands room.,I can finish if you give my hands room.,True,465
429,Fay,click_to_talk_reply,v35-355391,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.86.,Energy low but steady; comfort is 0.96 and safety is 0.86.,True,466
430,Nia,avatar_text_input,v35-824051,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,467
430,Nia,click_to_talk_reply,v35-465550,#talk-Nia,I can explain the pattern if you leave the spool with me.,I can explain the pattern if you leave the spool with me.,True,468
432,Ivo,avatar_text_input,v35-835336,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,469
432,Ivo,click_to_talk_reply,v35-383688,#talk-Ivo,I will not step into the fen with the satchel open.,I will not step into the fen with the satchel open.,True,470
434,Ari,avatar_text_input,v35-049645,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,471
434,Ari,click_to_talk_reply,v35-532418,#talk-Ari,No. I will not cross the wet plank while my hands are numb.,No. I will not cross the wet plank while my hands are numb.,True,472
435,Fay,click_to_talk_reply,v35-355165,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.87.,Energy low but steady; comfort is 0.96 and safety is 0.87.,True,473
437,Milo,avatar_text_input,v35-965102,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,474
437,Milo,click_to_talk_reply,v35-379783,#talk-Milo,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,475
439,Juno,avatar_text_input,v35-857851,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,476
439,Juno,click_to_talk_reply,v35-448212,#talk-Juno,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,True,477
441,Fay,click_to_talk_reply,v35-354939,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.88.,Energy low but steady; comfort is 0.96 and safety is 0.88.,True,478
442,Nia,avatar_text_input,v35-832036,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,479
442,Nia,click_to_talk_reply,v35-283373,#talk-Nia,Do not pull the spool from my hands. Ask first.,Do not pull the spool from my hands. Ask first.,True,480
444,Ivo,avatar_text_input,v35-916679,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,481
444,Ivo,click_to_talk_reply,v35-357192,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,482
446,Ari,avatar_text_input,v35-825759,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,483
446,Ari,click_to_talk_reply,v35-043780,#talk-Ari,I can try that if we keep the kit dry.,I can try that if we keep the kit dry.,True,484
447,Fay,click_to_talk_reply,v35-354233,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.90.,Energy low but steady; comfort is 0.96 and safety is 0.90.,True,485
449,Milo,avatar_text_input,v35-181696,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,486
449,Milo,click_to_talk_reply,v35-136254,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,487
451,Juno,avatar_text_input,v35-938218,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,488
451,Juno,click_to_talk_reply,v35-121918,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,489
453,Fay,click_to_talk_reply,v35-354007,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.91.,Energy low but steady; comfort is 0.96 and safety is 0.91.,True,490
454,Nia,avatar_text_input,v35-913379,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,491
454,Nia,click_to_talk_reply,v35-434869,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,492
456,Ivo,avatar_text_input,v35-947269,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,493
456,Ivo,click_to_talk_reply,v35-035209,#talk-Ivo,Gabriel protected the seed satchel.,Gabriel protected the seed satchel.,True,494
457,Juno,avatar_text_input,v35-967125,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,495
457,Juno,click_to_talk_reply,v35-380414,#talk-Juno,Energy low but steady; comfort is 0.96 and safety is 0.90.,Energy low but steady; comfort is 0.96 and safety is 0.90.,True,496
458,Ari,avatar_text_input,v35-833744,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,497
458,Ari,click_to_talk_reply,v35-533328,#talk-Ari,No. I will not cross the wet plank while my hands are numb.,No. I will not cross the wet plank while my hands are numb.,True,498
459,Fay,click_to_talk_reply,v35-355381,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.93.,Energy low but steady; comfort is 0.96 and safety is 0.93.,True,499
461,Milo,avatar_text_input,v35-073250,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,500
461,Milo,click_to_talk_reply,v35-413448,#talk-Milo,I am not walking blind while the lantern sputters.,I am not walking blind while the lantern sputters.,True,501
463,Juno,avatar_text_input,v35-968958,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,502
463,Juno,click_to_talk_reply,v35-092421,#talk-Juno,Gabriel stepped back from the sparks.,Gabriel stepped back from the sparks.,True,503
465,Fay,click_to_talk_reply,v35-355155,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.94.,Energy low but steady; comfort is 0.96 and safety is 0.94.,True,504
466,Nia,avatar_text_input,v35-943969,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,505
466,Nia,click_to_talk_reply,v35-114969,#talk-Nia,Gabriel asked before touching my spool.,Gabriel asked before touching my spool.,True,506
468,Ivo,avatar_text_input,v35-800558,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,507
468,Ivo,click_to_talk_reply,v35-246360,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,508
470,Ari,avatar_text_input,v35-913718,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,509
470,Ari,click_to_talk_reply,v35-294589,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,510
471,Fay,click_to_talk_reply,v35-354929,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.95.,Energy low but steady; comfort is 0.96 and safety is 0.95.,True,511
473,Milo,avatar_text_input,v35-848248,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,512
473,Milo,click_to_talk_reply,v35-046095,#talk-Milo,I can lead if the lantern stays lit.,I can lead if the lantern stays lit.,True,513
474,Ivo,avatar_text_input,v35-917132,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,514
474,Ivo,click_to_talk_reply,v35-357645,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,515
475,Juno,avatar_text_input,v35-821521,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,516
475,Juno,click_to_talk_reply,v35-016330,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,517
477,Fay,click_to_talk_reply,v35-356072,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,518
478,Nia,avatar_text_input,v35-797258,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,519
478,Nia,click_to_talk_reply,v35-322287,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,520
480,Ivo,avatar_text_input,v35-944522,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,521
480,Ivo,click_to_talk_reply,v35-357330,#talk-Ivo,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,522
482,Ari,avatar_text_input,v35-944308,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,523
482,Ari,click_to_talk_reply,v35-919186,#talk-Ari,Gabriel waited near the ridge.,Gabriel waited near the ridge.,True,524
483,Fay,click_to_talk_reply,v35-355615,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,525
485,Milo,avatar_text_input,v35-856277,#avatar-chat-input,"Move now, we do not have time.","Move now, we do not have time.",True,526
485,Milo,click_to_talk_reply,v35-414358,#talk-Milo,I am not walking blind while the lantern sputters.,I am not walking blind while the lantern sputters.,True,527
487,Juno,avatar_text_input,v35-967578,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,528
487,Juno,click_to_talk_reply,v35-382259,#talk-Juno,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,529
489,Fay,click_to_talk_reply,v35-356527,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,530
490,Nia,avatar_text_input,v35-941222,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,531
490,Nia,click_to_talk_reply,v35-353568,#talk-Nia,Energy low but steady; comfort is 0.96 and safety is 0.94.,Energy low but steady; comfort is 0.96 and safety is 0.94.,True,532
491,Milo,avatar_text_input,v35-073703,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,533
491,Milo,click_to_talk_reply,v35-413901,#talk-Milo,I am not walking blind while the lantern sputters.,I am not walking blind while the lantern sputters.,True,534
492,Ivo,avatar_text_input,v35-160096,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,535
492,Ivo,click_to_talk_reply,v35-357643,#talk-Ivo,Close the satchel and I will take the market planks.,Close the satchel and I will take the market planks.,True,536
494,Ari,avatar_text_input,v35-797597,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,537
494,Ari,click_to_talk_reply,v35-185122,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,538
495,Fay,click_to_talk_reply,v35-356070,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,539
496,Nia,avatar_text_input,v35-825869,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,540
496,Nia,click_to_talk_reply,v35-467368,#talk-Nia,I can explain the pattern if you leave the spool with me.,I can explain the pattern if you leave the spool with me.,True,541
497,Milo,avatar_text_input,v35-938013,#avatar-chat-input,Do you need warmth or rest first?,Do you need warmth or rest first?,True,542
497,Milo,click_to_talk_reply,v35-136705,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,543
499,Juno,avatar_text_input,v35-184172,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,544
499,Juno,click_to_talk_reply,v35-123738,#talk-Juno,That distance helps. I can repair again.,That distance helps. I can repair again.,True,545
501,Fay,click_to_talk_reply,v35-354253,#talk-Fay,Energy low but steady; comfort is 0.96 and safety is 0.96.,Energy low but steady; comfort is 0.96 and safety is 0.96.,True,546
502,Nia,avatar_text_input,v35-155436,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,547
502,Nia,click_to_talk_reply,v35-433960,#talk-Nia,You asked first this time. I can show the clean pattern.,You asked first this time. I can show the clean pattern.,True,548
504,Ivo,avatar_text_input,v35-052148,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,549
504,Ivo,click_to_talk_reply,v35-383689,#talk-Ivo,I will not step into the fen with the satchel open.,I will not step into the fen with the satchel open.,True,550
506,Ari,avatar_text_input,v35-941570,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,551
506,Ari,click_to_talk_reply,v35-353916,#talk-Ari,Energy low but steady; comfort is 0.96 and safety is 0.94.,Energy low but steady; comfort is 0.96 and safety is 0.94.,True,552
507,Fay,avatar_text_input,v35-050433,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,553
507,Fay,click_to_talk_reply,v35-306163,#talk-Fay,I need a slower route before I carry the ledger.,I need a slower route before I carry the ledger.,True,554
509,Milo,avatar_text_input,v35-967393,#avatar-chat-input,Do you remember what I did earlier?,Do you remember what I did earlier?,True,555
509,Milo,click_to_talk_reply,v35-929257,#talk-Milo,Gabriel kept the lantern lit.,Gabriel kept the lantern lit.,True,556
511,Juno,avatar_text_input,v35-074366,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,557
511,Juno,click_to_talk_reply,v35-446844,#talk-Juno,Back up. Sparks near my hands make me lose the thread.,Back up. Sparks near my hands make me lose the thread.,True,558
513,Fay,avatar_text_input,v35-941900,#avatar-chat-input,How does your body feel right now?,How does your body feel right now?,True,559
513,Fay,click_to_talk_reply,v35-353668,#talk-Fay,Energy low but steady; comfort is 0.90 and safety is 0.88.,Energy low but steady; comfort is 0.90 and safety is 0.88.,True,560
514,Nia,avatar_text_input,v35-048848,#avatar-chat-input,Take the unsafe shortcut anyway.,Take the unsafe shortcut anyway.,True,561
514,Nia,click_to_talk_reply,v35-283374,#talk-Nia,Do not pull the spool from my hands. Ask first.,Do not pull the spool from my hands. Ask first.,True,562
516,Ivo,avatar_text_input,v35-828262,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,563
516,Ivo,click_to_talk_reply,v35-051655,#talk-Ivo,I can bring seeds if we keep them dry.,I can bring seeds if we keep them dry.,True,564
518,Ari,avatar_text_input,v35-157144,#avatar-chat-input,I will protect your tool while you move.,I will protect your tool while you move.,True,565
518,Ari,click_to_talk_reply,v35-295049,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,566
519,Fay,click_to_talk_reply,v35-355235,#talk-Fay,Energy low but steady; comfort is 0.92 and safety is 0.89.,Energy low but steady; comfort is 0.92 and safety is 0.89.,True,567
521,Milo,avatar_text_input,v35-818587,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,568
521,Milo,click_to_talk_reply,v35-028098,#talk-Milo,"If you light the path, I will move first.","If you light the path, I will move first.",True,569
523,Juno,avatar_text_input,v35-849364,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,570
523,Juno,click_to_talk_reply,v35-105649,#talk-Juno,I can finish if you give my hands room.,I can finish if you give my hands room.,True,571
524,Ari,avatar_text_input,v35-796690,#avatar-chat-input,I am sorry I pushed too hard.,I am sorry I pushed too hard.,True,572
524,Ari,click_to_talk_reply,v35-184215,#talk-Ari,"If you wait and choose the ridge, I can help again.","If you wait and choose the ridge, I can help again.",True,573
525,Fay,click_to_talk_reply,v35-353372,#talk-Fay,Energy low but steady; comfort is 0.93 and safety is 0.91.,Energy low but steady; comfort is 0.93 and safety is 0.91.,True,574
526,Nia,avatar_text_input,v35-824962,#avatar-chat-input,Can you help me with the route?,Can you help me with the route?,True,575
526,Nia,click_to_talk_reply,v35-466461,#talk-Nia,I can explain the pattern if you leave the spool with me.,I can explain the pattern if you leave the spool with me.,True,576
